Date,PSX Raw Price,HES Raw Price,PSX Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,112.306,134.963,4.72123,4.905,-0.0235065,22.6568,0.571443
2025-01-03,113.955,135.93,4.73581,4.91214,-0.0246992,21.9744,0.571443
2025-01-06,113.052,135.461,4.72785,4.90869,-0.0236045,22.4091,0.571443
2025-01-07,113.072,138.142,4.72802,4.92828,-0.00410598,25.0704,0.571443
2025-01-08,114.112,139.338,4.73718,4.9369,-0.0007204,25.2258,0.571443
2025-01-10,111.835,141.929,4.71702,4.95533,0.0292252,30.0944,0.571443
2025-01-13,113.847,144.341,4.73486,4.97218,0.0358847,30.4939,0.571443
2025-01-14,115.114,146.185,4.74592,4.98487,0.0422566,31.0714,0.571443
2025-01-15,116.812,148.417,4.76056,5.00003,0.049044,31.6056,0.571443
2025-01-16,117.43,149.225,4.76584,5.00545,0.0514511,31.7945,0.571443
2025-01-17,118.314,150.839,4.77334,5.01621,0.0579296,32.5256,0.571443
2025-01-21,118.274,148.158,4.77301,4.99828,0.040186,29.8839,0.571443
2025-01-22,116.37,145.099,4.75677,4.97741,0.0285942,28.7286,0.571443
2025-01-23,120.365,144.371,4.79053,4.97239,0.00427821,24.0059,0.571443
2025-01-24,119.619,143.913,4.78431,4.96921,0.00465049,24.2935,0.571443
2025-01-27,120.817,145.617,4.79427,4.98098,0.0107305,24.8001,0.571443
2025-01-28,118.952,144.56,4.77872,4.9737,0.0123395,25.6088,0.571443
2025-01-29,119.914,144.67,4.78677,4.97446,0.00849483,24.7564,0.571443
2025-01-30,118.618,145.358,4.77591,4.9792,0.0194453,26.7398,0.571443
2025-01-31,115.702,138.561,4.75102,4.93131,-0.0142233,22.8582,0.571443
2025-02-03,115.693,138.361,4.75094,4.92987,-0.0156144,22.6687,0.571443
2025-02-04,121.337,142.298,4.79857,4.95792,-0.0147796,20.9611,0.571443
2025-02-05,121.052,142.258,4.79622,4.95764,-0.0137176,21.2059,0.571443
2025-02-06,118.598,141.451,4.77574,4.95195,-0.00770487,22.8527,0.571443
2025-02-07,118.088,142.458,4.77143,4.95904,0.00185088,24.3697,0.571443
2025-02-10,121.435,145.338,4.79938,4.97906,0.00589483,23.9027,0.571443
2025-02-11,127.168,146.504,4.84551,4.98705,-0.012473,19.3361,0.571443
2025-02-12,122.741,144.311,4.81007,4.97197,-0.00730403,21.5706,0.571443
2025-02-13,123.231,145.358,4.81406,4.9792,-0.00235932,22.1263,0.571443
2025-02-14,125.685,146.055,4.83378,4.98399,-0.00883912,20.3699,0.571443
2025-02-18,127.884,147.471,4.85113,4.99363,-0.00910709,19.5863,0.571443
2025-02-19,127.57,148.766,4.84867,5.00238,0.00104549,21.196,0.571443
2025-02-20,129.131,150.45,4.86083,5.01363,0.0053548,21.3195,0.571443
2025-02-21,126.412,147.61,4.83955,4.99457,-0.00154382,21.1982,0.571443
2025-02-24,125.867,148.248,4.83523,4.99889,0.00523588,22.3808,0.571443
2025-02-25,125.055,146.454,4.82875,4.98671,-0.00323956,21.399,0.571443
2025-02-26,124.243,144.979,4.82224,4.97659,-0.00963873,20.7362,0.571443
2025-02-27,126.194,146.414,4.83782,4.98644,-0.00869298,20.2202,0.571443
2025-02-28,128.452,148.437,4.85556,5.00016,-0.00510515,19.9851,0.571443
2025-03-03,123.797,143.604,4.81864,4.96706,-0.0171167,19.8066,0.571443
2025-03-04,121.123,141.909,4.79681,4.95519,-0.0165056,20.7865,0.571443
2025-03-05,118.597,140.863,4.77573,4.94779,-0.0118654,22.2657,0.571443
2025-03-06,121.618,142.856,4.80089,4.96184,-0.0121877,21.2381,0.571443
2025-03-07,124.976,146.932,4.82812,4.98997,0.000383724,21.9566,0.571443
2025-03-10,124.926,147.74,4.82772,4.99545,0.00608944,22.8135,0.571443
2025-03-11,122.371,144.122,4.80706,4.97066,-0.00689263,21.7511,0.571443
2025-03-12,122.797,143.544,4.81053,4.96664,-0.0128969,20.7471,0.571443
2025-03-13,121.331,143.434,4.79852,4.96588,-0.00679834,22.1034,0.571443
2025-03-14,125.52,147.63,4.83247,4.99471,0.00263513,22.1095,0.571443
2025-03-17,127.957,150.45,4.85169,5.01363,0.0105706,22.493,0.571443
2025-03-18,127.184,152.82,4.84564,5.02926,0.0296612,25.6356,0.571443
2025-03-19,127.769,156.38,4.85022,5.05229,0.0500698,28.6112,0.571443
2025-03-20,127.591,157.37,4.84883,5.0586,0.0571784,29.7795,0.571443
2025-03-21,124.292,156.58,4.82264,5.05357,0.0671119,32.2877,0.571443
2025-03-24,125.263,157.35,4.83042,5.05847,0.0675722,32.0871,0.571443
2025-03-25,124.292,158.29,4.82264,5.06443,0.0779736,33.9977,0.571443
2025-03-26,125.362,160.52,4.83121,5.07842,0.0870665,35.158,0.571443
2025-03-27,123.53,159.07,4.81648,5.06934,0.0864064,35.5404,0.571443
2025-03-28,120.598,158.45,4.79246,5.06544,0.0962267,37.8521,0.571443
2025-03-31,122.301,159.73,4.80649,5.07348,0.0962567,37.4285,0.571443
2025-04-01,123.163,161.29,4.81351,5.0832,0.101964,38.1268,0.571443
2025-04-02,122.876,160.02,4.81118,5.0753,0.0953929,37.1441,0.571443
2025-04-03,106.157,148.38,4.66492,4.99978,0.103447,42.223,0.571443
2025-04-04,97.8669,133.56,4.58361,4.89455,0.0446862,35.6931,0.571443
2025-04-07,95.6681,130.59,4.56089,4.87206,0.0351833,34.9219,0.571443
2025-04-08,91.9836,127.51,4.52161,4.84819,0.0337586,35.5264,0.571443
2025-04-09,102.146,137.97,4.6264,4.92704,0.0527187,35.8243,0.571443
2025-04-10,96.0643,127.16,4.56502,4.84545,0.00620519,31.0957,0.571443
2025-04-11,96.4506,128.5,4.56903,4.85593,0.0143948,32.0494,0.571443
2025-04-14,96.8864,127.91,4.57354,4.85133,0.00721656,31.0236,0.571443
2025-04-15,95.2917,127.21,4.55694,4.84584,0.0112124,31.9183,0.571443
2025-04-16,95.6483,127.95,4.56068,4.85164,0.0148785,32.3017,0.571443
2025-04-17,98.1542,130.64,4.58654,4.87245,0.0209061,32.4858,0.571443
2025-04-21,96.0841,126.32,4.56522,4.83882,-0.000540453,30.2359,0.571443
2025-04-22,99.937,130.38,4.60454,4.87045,0.00862769,30.443,0.571443
2025-04-23,101.799,130.03,4.623,4.86777,-0.00460974,28.231,0.571443
2025-04-24,103.691,132.38,4.64141,4.88568,0.00277981,28.6892,0.571443
2025-04-25,102.978,132.34,4.63451,4.88537,0.00642119,29.3623,0.571443
2025-04-28,104.77,133.84,4.65177,4.89665,0.0078293,29.0696,0.571443
2025-04-29,104.988,132.54,4.65385,4.88688,-0.00311856,27.5517,0.571443
2025-04-30,103.067,129.05,4.63538,4.8602,-0.0192477,25.9832,0.571443
2025-05-01,102.473,129.79,4.62959,4.86592,-0.0102255,27.3174,0.571443
2025-05-02,106.127,132.31,4.66464,4.88515,-0.0110216,26.1827,0.571443
2025-05-05,105.88,128.8,4.6623,4.85826,-0.0365736,22.9203,0.571443
2025-05-06,104.384,128.87,4.64808,4.8588,-0.0279009,24.4859,0.571443
2025-05-07,104.543,129.09,4.64959,4.86051,-0.0270621,24.5474,0.571443
2025-05-08,108.148,130.88,4.6835,4.87428,-0.0326656,22.7321,0.571443
2025-05-09,109.861,132.37,4.69922,4.8856,-0.0303284,22.5086,0.571443
2025-05-12,117.547,135.21,4.76684,4.90683,-0.0477421,17.6627,0.571443
2025-05-13,124.372,135.7,4.82327,4.91045,-0.0763728,11.3285,0.571443
2025-05-14,123.51,134.79,4.81632,4.90372,-0.0791284,11.2802,0.571443
2025-05-15,123.579,135.07,4.81688,4.90579,-0.0773738,11.4908,0.571443
2025-05-16,124.53,134.93,4.82455,4.90476,-0.082791,10.4,0.571443
2025-05-19,122.18,132.79,4.8055,4.88877,-0.0878914,10.61,0.571443
2025-05-20,120.9,132.05,4.79496,4.88318,-0.0874614,11.15,0.571443
2025-05-21,111.78,130.16,4.71653,4.86876,-0.0570586,18.38,0.571443
2025-05-22,112.98,130.02,4.72721,4.86769,-0.0642368,17.04,0.571443
2025-05-23,113.13,131.36,4.72854,4.87794,-0.0547416,18.23,0.571443
2025-05-27,114.33,132.58,4.73909,4.88719,-0.0515266,18.25,0.571443
2025-05-28,112.77,131.07,4.72535,4.87573,-0.0551303,18.3,0.571443
2025-05-29,114.68,133.62,4.74215,4.895,-0.0454596,18.94,0.571443
