Date,PSX Raw Price,RRC Raw Price,PSX Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,112.306,35.8827,4.72123,3.58026,-0.0289805,76.4234,0.588927
2025-01-03,113.955,35.7434,4.73581,3.57636,-0.0414564,78.2119,0.588927
2025-01-06,113.052,36.6392,4.72785,3.60112,-0.0120168,76.413,0.588927
2025-01-07,113.072,36.6093,4.72802,3.6003,-0.0129345,76.4625,0.588927
2025-01-08,114.112,37.3459,4.73718,3.62022,0.00159081,76.7664,0.588927
2025-01-10,111.835,37.9929,4.71702,3.6374,0.0306387,73.8421,0.588927
2025-01-13,113.847,38.3114,4.73486,3.64575,0.0284847,75.5359,0.588927
2025-01-14,115.114,39.4361,4.74592,3.67468,0.050906,75.6774,0.588927
2025-01-15,116.812,40.1429,4.76056,3.69244,0.060043,76.6689,0.588927
2025-01-16,117.43,41.0984,4.76584,3.71597,0.0804581,76.3317,0.588927
2025-01-17,118.314,40.8794,4.77334,3.71063,0.0707017,77.4342,0.588927
2025-01-21,118.274,40.7799,4.77301,3.70819,0.0684594,77.4944,0.588927
2025-01-22,116.37,40.8097,4.75677,3.70892,0.0787507,75.5602,0.588927
2025-01-23,120.365,40.3718,4.79053,3.69813,0.0480815,79.9934,0.588927
2025-01-24,119.619,39.9836,4.78431,3.68847,0.0420811,79.6355,0.588927
2025-01-27,120.817,37.0971,4.79427,3.61354,-0.0387172,83.7196,0.588927
2025-01-28,118.952,37.2264,4.77872,3.61702,-0.026073,81.7252,0.588927
2025-01-29,119.914,37.4156,4.78677,3.62209,-0.0257493,82.498,0.588927
2025-01-30,118.618,37.3957,4.77591,3.62155,-0.0198832,81.2222,0.588927
2025-01-31,115.702,36.8681,4.75102,3.60735,-0.0194352,78.8344,0.588927
2025-02-03,115.693,37.2663,4.75094,3.61809,-0.00864402,78.4264,0.588927
2025-02-04,121.337,37.5649,4.79857,3.62607,-0.0287159,83.7721,0.588927
2025-02-05,121.052,38.7593,4.79622,3.65737,0.00396872,82.293,0.588927
2025-02-06,118.598,37.4554,4.77574,3.62315,-0.01819,81.1429,0.588927
2025-02-07,118.088,37.0771,4.77143,3.613,-0.0257996,81.0107,0.588927
2025-02-10,121.435,39.5257,4.79938,3.67695,0.0216902,81.9094,0.588927
2025-02-11,127.168,39.3864,4.84551,3.67342,-0.00900692,87.7813,0.588927
2025-02-12,122.741,38.3014,4.81007,3.64549,-0.0160719,84.4392,0.588927
2025-02-13,123.231,38.6199,4.81406,3.65377,-0.0101406,84.6115,0.588927
2025-02-14,125.685,38.4906,4.83378,3.65041,-0.0251093,87.1949,0.588927
