Date,RRC Raw Price,ET Raw Price,RRC Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,35.8827,19.0293,3.58026,2.94598,0.0839575,16.8534,0.75678
2025-01-03,35.7434,18.9617,3.57636,2.94242,0.0833444,16.7817,0.75678
2025-01-06,36.6392,18.9424,3.60112,2.9414,0.0635923,17.6968,0.75678
2025-01-07,36.6093,18.8169,3.6003,2.93475,0.0575614,17.7924,0.75678
2025-01-08,37.3459,19.0486,3.62022,2.94699,0.0547252,18.2973,0.75678
2025-01-10,37.9929,18.7493,3.6374,2.93116,0.0258901,19.2436,0.75678
2025-01-13,38.3114,18.7976,3.64575,2.93373,0.0221433,19.5138,0.75678
2025-01-14,39.4361,19.2417,3.67468,2.95708,0.0235968,20.1945,0.75678
2025-01-15,40.1429,19.3479,3.69244,2.96258,0.0156594,20.795,0.75678
2025-01-16,41.0984,19.5506,3.71597,2.97301,0.00828082,21.5478,0.75678
2025-01-17,40.8794,19.5893,3.71063,2.97498,0.0142972,21.2902,0.75678
2025-01-21,40.7799,20.1878,3.70819,3.00508,0.0462414,20.592,0.75678
2025-01-22,40.8097,20.1975,3.70892,3.00556,0.0461657,20.6122,0.75678
2025-01-23,40.3718,20.3327,3.69813,3.01223,0.0610009,20.0391,0.75678
2025-01-24,39.9836,20.323,3.68847,3.01175,0.067838,19.6606,0.75678
2025-01-27,37.0971,19.1258,3.61354,2.95104,0.063831,17.9712,0.75678
2025-01-28,37.2264,19.6472,3.61702,2.97793,0.0880902,17.5793,0.75678
2025-01-29,37.4156,19.821,3.62209,2.98674,0.0930616,17.5946,0.75678
2025-01-30,37.3957,20.352,3.62155,3.01318,0.119902,17.0437,0.75678
2025-01-31,36.8681,19.7727,3.60735,2.9843,0.101778,17.0954,0.75678
2025-02-03,37.2663,20.043,3.61809,2.99788,0.107228,17.2232,0.75678
2025-02-04,37.5649,20.0527,3.62607,2.99836,0.10167,17.5122,0.75678
2025-02-05,38.7593,20.072,3.65737,2.99932,0.0789443,18.6873,0.75678
2025-02-06,37.4554,19.6665,3.62315,2.97892,0.0844327,17.7889,0.75678
2025-02-07,37.0771,19.5537,3.613,2.97316,0.0863602,17.5235,0.75678
2025-02-10,39.5257,19.7106,3.67695,2.98116,0.0459592,19.8151,0.75678
2025-02-11,39.3864,19.4359,3.67342,2.96712,0.0345967,19.9505,0.75678
2025-02-12,38.3014,19.2789,3.64549,2.95901,0.0476259,19.0225,0.75678
2025-02-13,38.6199,19.4457,3.65377,2.96763,0.0499728,19.1742,0.75678
2025-02-14,38.4906,19.6125,3.65041,2.97617,0.0610534,18.878,0.75678
2025-02-18,38.7394,19.9167,3.65686,2.99156,0.0715652,18.8227,0.75678
