Date,SHEL Raw Price,ET Raw Price,SHEL Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,61.7661,19.0293,4.12335,2.94598,0.0776953,42.7368,0.423109
2025-01-03,63.1561,18.9617,4.14561,2.94242,0.0647215,44.1944,0.423109
2025-01-06,63.3812,18.9424,4.14917,2.9414,0.062197,44.4388,0.423109
2025-01-07,64.5363,18.8169,4.16723,2.93475,0.0479077,45.7194,0.423109
2025-01-08,63.3518,19.0486,4.1487,2.94699,0.0679839,44.3033,0.423109
2025-01-10,63.5672,18.7493,4.1521,2.93116,0.0507113,44.8179,0.423109
2025-01-13,63.5868,18.7976,4.15241,2.93373,0.0531523,44.7892,0.423109
2025-01-14,64.5167,19.2417,4.16692,2.95708,0.0703607,45.275,0.423109
2025-01-15,64.9572,19.3479,4.17373,2.96258,0.072986,45.6093,0.423109
2025-01-16,65.0453,19.5506,4.17508,2.97301,0.082837,45.4946,0.423109
2025-01-17,65.3096,19.5893,4.17914,2.97498,0.0830946,45.7203,0.423109
2025-01-21,65.3585,20.1878,4.17989,3.00508,0.112877,45.1707,0.423109
2025-01-22,64.5558,20.1975,4.16753,3.00556,0.118584,44.3583,0.423109
2025-01-23,65.2508,20.3327,4.17824,3.01223,0.120723,44.9182,0.423109
2025-01-24,64.0077,20.323,4.159,3.01175,0.128386,43.6847,0.423109
2025-01-27,63.763,19.1258,4.15517,2.95104,0.0692935,44.6371,0.423109
2025-01-28,63.2148,19.6472,4.14654,2.97793,0.0998408,43.5676,0.423109
2025-01-29,63.4106,19.821,4.14963,2.98674,0.107339,43.5896,0.423109
2025-01-30,65.241,20.352,4.17809,3.01318,0.121735,44.8891,0.423109
2025-01-31,64.458,19.7727,4.16601,2.9843,0.0979687,44.6853,0.423109
2025-02-03,63.7923,20.043,4.15563,2.99788,0.11594,43.7493,0.423109
2025-02-04,65.2215,20.0527,4.17779,2.99836,0.107047,45.1688,0.423109
2025-02-05,65.1236,20.072,4.17629,2.99932,0.108645,45.0516,0.423109
