Date,SHEL Raw Price,FANG Raw Price,SHEL Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,61.7661,164.468,4.12335,5.10271,0.143101,102.702,0.588252
2025-01-03,63.1561,168.59,4.14561,5.12747,0.154764,105.434,0.588252
2025-01-06,63.3812,167.288,4.14917,5.11972,0.144919,103.907,0.588252
2025-01-07,64.5363,170.029,4.16723,5.13597,0.15055,105.493,0.588252
2025-01-08,63.3518,168.619,4.1487,5.12764,0.153118,105.267,0.588252
2025-01-10,63.5672,172.347,4.1521,5.14951,0.172988,108.78,0.588252
2025-01-13,63.5868,175.148,4.15241,5.16563,0.188926,111.561,0.588252
2025-01-14,64.5167,175.217,4.16692,5.16602,0.18078,110.7,0.588252
2025-01-15,64.9572,177.07,4.17373,5.17655,0.187302,112.113,0.588252
2025-01-16,65.0453,176.637,4.17508,5.17409,0.184051,111.591,0.588252
2025-01-17,65.3096,177.682,4.17914,5.17999,0.187566,112.372,0.588252
2025-01-21,65.3585,174.497,4.17989,5.16191,0.169037,109.138,0.588252
2025-01-22,64.5558,175.128,4.16753,5.16552,0.179916,110.572,0.588252
2025-01-23,65.2508,174.181,4.17824,5.1601,0.168197,108.93,0.588252
2025-01-24,64.0077,170.858,4.159,5.14083,0.160248,106.85,0.588252
2025-01-27,63.763,169.221,4.15517,5.1312,0.152874,105.458,0.588252
2025-01-28,63.2148,166.903,4.14654,5.11742,0.144164,103.689,0.588252
2025-01-29,63.4106,168.491,4.14963,5.12688,0.151813,105.081,0.588252
2025-01-30,65.241,168.047,4.17809,5.12425,0.132435,102.806,0.588252
2025-01-31,64.458,162.081,4.16601,5.0881,0.10339,97.6233,0.588252
2025-02-03,63.7923,162.2,4.15563,5.08883,0.110226,98.4072,0.588252
2025-02-04,65.2215,163.994,4.17779,5.09983,0.108198,98.7729,0.588252
2025-02-05,65.1236,162.476,4.17629,5.09053,0.0997775,97.3521,0.588252
2025-02-06,64.7614,157.811,4.17071,5.0614,0.0739296,93.0499,0.588252
2025-02-07,64.4971,155.938,4.16662,5.04946,0.0643915,91.4405,0.588252
2025-02-10,64.732,159.419,4.17026,5.07153,0.0843305,94.6866,0.588252
2025-02-11,65.9556,159.764,4.18898,5.0737,0.0754776,93.8082,0.588252
2025-02-12,65.3487,153.305,4.17974,5.03243,0.0396461,87.9559,0.588252
2025-02-13,65.9458,154.005,4.18883,5.03698,0.0388521,88.059,0.588252
2025-02-14,66.4168,154.813,4.19595,5.04222,0.0399032,88.3967,0.588252
2025-02-18,67.0994,154.587,4.20618,5.04075,0.0324214,87.4872,0.588252
2025-02-19,66.8818,158.038,4.20293,5.06284,0.0564143,91.1563,0.588252
2025-02-20,67.6535,159.843,4.2144,5.07419,0.0610199,92.1892,0.588252
2025-02-21,65.9913,153.955,4.18952,5.03666,0.0381261,87.9641,0.588252
2025-02-24,66.1793,153.078,4.19237,5.03095,0.0307357,86.8985,0.588252
2025-02-25,66.1892,149.814,4.19252,5.00939,0.00909393,83.6245,0.588252
2025-02-26,66.6839,150.317,4.19996,5.01274,0.00806516,83.6327,0.588252
2025-02-27,66.5553,153.433,4.19803,5.03326,0.0297197,86.8775,0.588252
2025-02-28,66.7433,156.756,4.20085,5.05469,0.0494889,90.0128,0.588252
2025-03-03,65.7539,145.948,4.18592,4.98325,-0.0131661,80.1942,0.588252
2025-03-04,65.4966,143.029,4.182,4.96305,-0.0310631,77.5324,0.588252
2025-03-05,65.3977,140.722,4.18049,4.94678,-0.0464388,75.3238,0.588252
2025-03-06,65.3087,138.934,4.17912,4.934,-0.0584216,73.6253,0.588252
2025-03-07,66.0804,139.143,4.19087,4.9355,-0.0638319,73.0621,0.588252
2025-03-10,66.0804,139.609,4.19087,4.93885,-0.0604829,73.5289,0.588252
2025-03-11,66.1002,143.651,4.19117,4.96739,-0.0321187,77.551,0.588252
2025-03-12,66.6641,145.538,4.19967,4.98044,-0.0240666,78.8739,0.588252
2025-03-13,67.0203,144.793,4.205,4.97531,-0.032332,77.7729,0.588252
2025-03-14,68.0393,149.163,4.22009,5.00504,-0.0114773,81.1235,0.588252
2025-03-17,69.3552,151.973,4.23924,5.0237,-0.00407909,82.6181,0.588252
2025-03-18,70.216,153.93,4.25158,5.0365,0.00145624,83.7137,0.588252
2025-03-19,70.7601,156.512,4.2593,5.05313,0.0135501,85.7516,0.588252
2025-03-20,71.1855,157.386,4.26529,5.0587,0.0155921,86.2001,0.588252
2025-03-21,70.2555,157.406,4.25214,5.05883,0.0234543,87.15,0.588252
2025-03-24,70.5227,159.898,4.25593,5.07454,0.0369337,89.3755,0.588252
2025-03-25,71.2647,160.484,4.2664,5.0782,0.0344342,89.2194,0.588252
2025-03-26,72.2541,161.964,4.28019,5.08737,0.0355016,89.7098,0.588252
2025-03-27,72.5113,159.124,4.28374,5.06968,0.0157191,86.6123,0.588252
2025-03-28,71.9573,156.452,4.27607,5.05275,0.00330027,84.4949,0.588252
2025-03-31,72.5014,158.776,4.28361,5.06749,0.0136128,86.2746,0.588252
2025-04-01,72.2739,159.759,4.28046,5.07367,0.021635,87.4853,0.588252
2025-04-02,71.9474,160.375,4.27593,5.07751,0.028145,88.4275,0.588252
2025-04-03,69.0287,140.304,4.23452,4.94381,-0.0811935,71.2757,0.588252
2025-04-04,63.4486,122.518,4.15023,4.80826,-0.167164,59.0695,0.588252
2025-04-07,61.6579,123.67,4.1216,4.81762,-0.140964,62.0122,0.588252
2025-04-08,59.1152,118.427,4.07949,4.77429,-0.159516,59.3114,0.588252
2025-04-09,63.2112,133.998,4.14648,4.89783,-0.0753908,70.7871,0.588252
2025-04-10,59.1449,122.31,4.07999,4.80656,-0.127549,63.1647,0.588252
2025-04-11,61.4303,128.119,4.1179,4.85296,-0.103446,66.6888,0.588252
2025-04-14,61.8755,126.759,4.12512,4.84228,-0.11837,64.8831,0.588252
2025-04-15,62.113,126.262,4.12895,4.83836,-0.124548,64.1491,0.588252
2025-04-16,63.3497,129.321,4.14867,4.8623,-0.112209,65.9711,0.588252
2025-04-17,64.349,136.69,4.16432,4.91771,-0.0659995,72.3406,0.588252
2025-04-21,63.9631,131.436,4.15831,4.87852,-0.101653,67.473,0.588252
2025-04-22,64.4776,135.597,4.16632,4.90969,-0.0751981,71.1196,0.588252
2025-04-23,63.8246,134.604,4.15614,4.90234,-0.0765612,70.7795,0.588252
2025-04-24,64.3589,135.22,4.16447,4.9069,-0.0769008,70.8609,0.588252
2025-04-25,65.1603,135.816,4.17685,4.9113,-0.0797836,70.6554,0.588252
2025-04-28,65.3186,136.868,4.17928,4.91902,-0.0734899,71.5498,0.588252
2025-04-29,64.814,135.706,4.17152,4.91049,-0.0774538,70.8924,0.588252
2025-04-30,63.7949,131.098,4.15567,4.87595,-0.102677,67.3035,0.588252
2025-05-01,64.1115,133.899,4.16062,4.89709,-0.0844516,69.7875,0.588252
2025-05-02,65.932,135.865,4.18862,4.91166,-0.0863439,69.9333,0.588252
2025-05-05,64.4281,132.161,4.16555,4.88402,-0.100414,67.7329,0.588252
2025-05-06,64.4083,131.069,4.16524,4.87572,-0.108533,66.6603,0.588252
2025-05-07,64.3589,128.675,4.16447,4.85729,-0.12651,64.3164,0.588252
2025-05-08,64.3885,135.24,4.16494,4.90705,-0.0770252,70.8511,0.588252
2025-05-09,65.4472,136.938,4.18124,4.91953,-0.0741394,71.4907,0.588252
2025-05-12,65.6747,141.933,4.18471,4.95536,-0.0403524,76.2584,0.588252
2025-05-13,66.8917,145.161,4.20307,4.97784,-0.0286675,78.269,0.588252
2025-05-14,66.3772,143.82,4.19535,4.96856,-0.0334043,77.4428,0.588252
2025-05-15,66.674,141.95,4.19982,4.95547,-0.0491166,75.276,0.588252
2025-05-16,66.62,141.13,4.199,4.94968,-0.0544334,74.51,0.588252
2025-05-19,66.67,139.35,4.19976,4.93699,-0.0675674,72.68,0.588252
2025-05-20,66.62,138.35,4.199,4.92979,-0.0743281,71.73,0.588252
2025-05-21,66.36,136.31,4.19509,4.91493,-0.0868829,69.95,0.588252
2025-05-22,65.95,136.29,4.1889,4.91478,-0.0833839,70.34,0.588252
2025-05-23,66.3,135.86,4.19419,4.91162,-0.0896575,69.56,0.588252
2025-05-27,66.69,137.49,4.20006,4.92355,-0.0811814,70.8,0.588252
2025-05-28,66.04,136.28,4.19026,4.91471,-0.0842595,70.24,0.588252
2025-05-29,66.44,137.81,4.1963,4.92588,-0.0766474,71.37,0.588252
2025-05-30,66.22,134.55,4.19298,4.90194,-0.0986363,68.33,0.588252
2025-06-02,67.45,137.59,4.21139,4.92428,-0.0871202,70.14,0.588252
2025-06-03,67.83,142.28,4.217,4.9578,-0.0569063,74.45,0.588252
2025-06-04,67.27,139.35,4.20871,4.93699,-0.0728377,72.08,0.588252
2025-06-05,67.53,137.45,4.21257,4.92326,-0.0888355,69.92,0.588252
2025-06-06,68.02,140.56,4.2198,4.94563,-0.0707142,72.54,0.588252
2025-06-09,68.26,142.13,4.22332,4.95674,-0.0616785,73.87,0.588252
2025-06-10,70.05,145.57,4.24921,4.98066,-0.0529906,75.52,0.588252
2025-06-11,71.02,148.92,4.26296,5.00341,-0.0383282,77.9,0.588252
2025-06-12,71.44,149.33,4.26886,5.00616,-0.0390475,77.89,0.588252
2025-06-13,72.54,154.91,4.28414,5.04284,-0.0113504,82.37,0.588252
