Date,SHEL Raw Price,KMI Raw Price,SHEL Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,61.7661,27.5159,4.12335,3.31476,0.0342992,34.2502,0.349004
2025-01-03,63.1561,27.6725,4.14561,3.32044,0.0322081,35.4836,0.349004
2025-01-06,63.3812,27.2418,4.14917,3.30475,0.0152796,36.1394,0.349004
2025-01-07,64.5363,27.2222,4.16723,3.30403,0.00825764,37.314,0.349004
2025-01-08,63.3518,27.6921,4.1487,3.32115,0.0318351,35.6598,0.349004
2025-01-10,63.5672,27.5648,4.1521,3.31654,0.0260449,36.0024,0.349004
2025-01-13,63.5868,27.9172,4.15241,3.32924,0.0386405,35.6696,0.349004
2025-01-14,64.5167,28.5045,4.16692,3.35006,0.0543931,36.0122,0.349004
2025-01-15,64.9572,28.8178,4.17373,3.36099,0.0629475,36.1394,0.349004
2025-01-16,65.0453,29.4247,4.17508,3.38183,0.0833155,35.6206,0.349004
2025-01-17,65.3096,29.6694,4.17914,3.39012,0.0901826,35.6402,0.349004
2025-01-21,65.3585,30.5601,4.17989,3.4197,0.119502,34.7984,0.349004
2025-01-22,64.5558,30.1294,4.16753,3.4055,0.109621,34.4264,0.349004
2025-01-23,65.2508,29.8358,4.17824,3.39571,0.0960896,35.415,0.349004
2025-01-24,64.0077,29.6302,4.159,3.38879,0.0958894,34.3775,0.349004
2025-01-27,63.763,26.8796,4.15517,3.29137,-0.000200429,36.8833,0.349004
2025-01-28,63.2148,26.8796,4.14654,3.29137,0.00281286,36.3352,0.349004
2025-01-29,63.4106,26.723,4.14963,3.28552,-0.00411003,36.6876,0.349004
2025-01-30,65.241,27.5061,4.17809,3.31441,0.0148409,37.735,0.349004
2025-01-31,64.458,26.8992,4.16601,3.2921,-0.0032558,37.5588,0.349004
2025-02-03,63.7923,27.283,4.15563,3.30626,0.0145351,36.5093,0.349004
2025-02-04,65.2215,27.2039,4.17779,3.30336,0.00389769,38.0176,0.349004
2025-02-05,65.1236,27.3424,4.17629,3.30844,0.00949992,37.7812,0.349004
2025-02-06,64.7614,26.4916,4.17071,3.27683,-0.0201624,38.2698,0.349004
2025-02-07,64.4971,26.7488,4.16662,3.28649,-0.00907321,37.7483,0.349004
2025-02-10,64.732,26.7785,4.17026,3.2876,-0.00923332,37.9535,0.349004
2025-02-11,65.9556,26.5015,4.18898,3.2772,-0.0261661,39.4541,0.349004
2025-02-12,65.3487,25.997,4.17974,3.25798,-0.0421603,39.3517,0.349004
2025-02-13,65.9458,26.274,4.18883,3.26858,-0.0347367,39.6718,0.349004
2025-02-14,66.4168,26.2641,4.19595,3.2682,-0.0375968,40.1527,0.349004
2025-02-18,67.0994,26.462,4.20618,3.27571,-0.033661,40.6375,0.349004
2025-02-19,66.8818,26.6004,4.20293,3.28093,-0.027307,40.2813,0.349004
2025-02-20,67.6535,26.3037,4.2144,3.26971,-0.0425302,41.3498,0.349004
2025-02-21,65.9913,26.1256,4.18952,3.26292,-0.040641,39.8657,0.349004
2025-02-24,66.1793,26.185,4.19237,3.26519,-0.0393646,39.9943,0.349004
2025-02-25,66.1892,25.819,4.19252,3.25111,-0.0534934,40.3703,0.349004
2025-02-26,66.6839,25.8882,4.19996,3.25379,-0.0534137,40.7957,0.349004
2025-02-27,66.5553,25.9278,4.19803,3.25531,-0.0512126,40.6275,0.349004
2025-02-28,66.7433,26.8082,4.20085,3.28871,-0.0188042,39.9351,0.349004
2025-03-03,65.7539,26.8478,4.18592,3.29018,-0.0121171,38.9061,0.349004
