Date,SHEL Raw Price,RRC Raw Price,SHEL Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,61.7661,35.8827,4.12335,3.58026,0.0214523,25.8834,1.00459
2025-01-03,63.1561,35.7434,4.14561,3.57636,-0.00479536,27.4127,1.00459
2025-01-06,63.3812,36.6392,4.14917,3.60112,0.0163837,26.742,1.00459
2025-01-07,64.5363,36.6093,4.16723,3.6003,-0.00257452,27.9269,1.00459
2025-01-08,63.3518,37.3459,4.1487,3.62022,0.0359537,26.006,1.00459
2025-01-10,63.5672,37.9929,4.1521,3.6374,0.0497205,25.5743,1.00459
2025-01-13,63.5868,38.3114,4.15241,3.64575,0.0577598,25.2754,1.00459
2025-01-14,64.5167,39.4361,4.16692,3.67468,0.0721101,25.0805,1.00459
2025-01-15,64.9572,40.1429,4.17373,3.69244,0.0830362,24.8143,1.00459
2025-01-16,65.0453,41.0984,4.17508,3.71597,0.105199,23.9469,1.00459
2025-01-17,65.3096,40.8794,4.17914,3.71063,0.0957834,24.4301,1.00459
2025-01-21,65.3585,40.7799,4.17989,3.70819,0.0925931,24.5786,1.00459
2025-01-22,64.5558,40.8097,4.16753,3.70892,0.105739,23.7461,1.00459
2025-01-23,65.2508,40.3718,4.17824,3.69813,0.0841917,24.879,1.00459
2025-01-24,64.0077,39.9836,4.159,3.68847,0.0938536,24.0241,1.00459
2025-01-27,63.763,37.0971,4.15517,3.61354,0.0227702,26.6659,1.00459
2025-01-28,63.2148,37.2264,4.14654,3.61702,0.0349258,25.9884,1.00459
2025-01-29,63.4106,37.4156,4.14963,3.62209,0.0368869,25.995,1.00459
2025-01-30,65.241,37.3957,4.17809,3.62155,0.00776591,27.8454,1.00459
2025-01-31,64.458,36.8681,4.16601,3.60735,0.00568947,27.5898,1.00459
2025-02-03,63.7923,37.2663,4.15563,3.61809,0.0268586,26.5261,1.00459
2025-02-04,65.2215,37.5649,4.17779,3.62607,0.0125821,27.6566,1.00459
2025-02-05,65.1236,38.7593,4.17629,3.65737,0.0453924,26.3643,1.00459
2025-02-06,64.7614,37.4554,4.17071,3.62315,0.0167745,27.306,1.00459
2025-02-07,64.4971,37.0771,4.16662,3.613,0.010733,27.42,1.00459
2025-02-10,64.732,39.5257,4.17026,3.67695,0.0710315,25.2063,1.00459
2025-02-11,65.9556,39.3864,4.18898,3.67342,0.048688,26.5692,1.00459
2025-02-12,65.3487,38.3014,4.17974,3.64549,0.0300421,27.0473,1.00459
2025-02-13,65.9458,38.6199,4.18883,3.65377,0.0291861,27.3259,1.00459
2025-02-14,66.4168,38.4906,4.19595,3.65041,0.0186813,27.9262,1.00459
2025-02-18,67.0994,38.7394,4.20618,3.65686,0.0148525,28.36,1.00459
2025-02-19,66.8818,39.7148,4.20293,3.68173,0.0429847,27.1669,1.00459
2025-02-20,67.6535,39.4859,4.2144,3.67594,0.0256785,28.1676,1.00459
2025-02-21,65.9913,38.3014,4.18952,3.64549,0.0202117,27.6899,1.00459
2025-02-24,66.1793,37.8137,4.19237,3.63267,0.00453826,28.3656,1.00459
2025-02-25,66.1892,37.326,4.19252,3.61969,-0.00859392,28.8632,1.00459
2025-02-26,66.6839,38.3711,4.19996,3.6473,0.011541,28.3128,1.00459
2025-02-27,66.5553,36.2311,4.19803,3.58992,-0.0439067,30.3242,1.00459
2025-02-28,66.7433,36.9477,4.20085,3.6095,-0.0271531,29.7955,1.00459
2025-03-03,65.7539,36.6292,4.18592,3.60085,-0.0208081,29.1247,1.00459
2025-03-04,65.4966,37.6843,4.182,3.62924,0.011527,27.8123,1.00459
2025-03-05,65.3977,37.3558,4.18049,3.62049,0.00429116,28.0419,1.00459
2025-03-06,65.3087,35.2158,4.17912,3.5615,-0.053334,30.0928,1.00459
2025-03-07,66.0804,35.0566,4.19087,3.55696,-0.0696676,31.0238,1.00459
2025-03-10,66.0804,36.2908,4.19087,3.59156,-0.0350659,29.7896,1.00459
2025-03-11,66.1002,37.2762,4.19117,3.61836,-0.00857563,28.8239,1.00459
2025-03-12,66.6641,37.4255,4.19967,3.62235,-0.013113,29.2386,1.00459
2025-03-13,67.0203,37.2862,4.205,3.61862,-0.0221963,29.7341,1.00459
2025-03-14,68.0393,38.234,4.22009,3.64373,-0.0122527,29.8053,1.00459
2025-03-17,69.3552,38.8826,4.23924,3.66055,-0.0146756,30.4726,1.00459
2025-03-18,70.216,39.5511,4.25158,3.67759,-0.0100201,30.6649,1.00459
2025-03-19,70.7601,40.4191,4.2593,3.6993,0.00393484,30.341,1.00459
2025-03-20,71.1855,40.1797,4.26529,3.69336,-0.008029,31.0059,1.00459
2025-03-21,70.2555,39.7905,4.25214,3.68363,-0.00454984,30.465,1.00459
2025-03-24,70.5227,40.5788,4.25593,3.70324,0.0112534,29.9439,1.00459
2025-03-25,71.2647,40.05,4.2664,3.69013,-0.0123789,31.2147,1.00459
2025-03-26,72.2541,39.7506,4.28019,3.68263,-0.0337316,32.5034,1.00459
2025-03-27,72.5113,38.703,4.28374,3.65592,-0.0640108,33.8083,1.00459
2025-03-28,71.9573,39.1021,4.27607,3.66618,-0.0460463,32.8552,1.00459
2025-03-31,72.5014,39.8404,4.28361,3.68488,-0.0349082,32.661,1.00459
2025-04-01,72.2739,40.1298,4.28046,3.69212,-0.0245138,32.1441,1.00459
2025-04-02,71.9474,40.5189,4.27593,3.70177,-0.0103154,31.4285,1.00459
2025-04-03,69.0287,37.9846,4.23452,3.63718,-0.0333008,31.0441,1.00459
2025-04-04,63.4486,33.375,4.15023,3.50781,-0.0779968,30.0737,1.00459
2025-04-07,61.6579,33.4348,4.1216,3.5096,-0.0474435,28.223,1.00459
2025-04-08,59.1152,32.028,4.07949,3.46661,-0.0481249,27.0872,1.00459
2025-04-09,63.2112,34.4825,4.14648,3.54045,-0.041585,28.7287,1.00459
2025-04-10,59.1449,32.1777,4.07999,3.47127,-0.0439671,26.9672,1.00459
2025-04-11,61.4303,33.3151,4.1179,3.50601,-0.0473165,28.1152,1.00459
2025-04-14,61.8755,33.3849,4.12512,3.5081,-0.0524769,28.4906,1.00459
2025-04-15,62.113,33.2652,4.12895,3.50451,-0.0599174,28.8478,1.00459
2025-04-16,63.3497,34.0235,4.14867,3.52705,-0.0571836,29.3262,1.00459
2025-04-17,64.349,34.1033,4.16432,3.52939,-0.0705628,30.2456,1.00459
2025-04-21,63.9631,32.5468,4.15831,3.48268,-0.111236,31.4163,1.00459
2025-04-22,64.4776,33.2153,4.16632,3.50301,-0.0989524,31.2623,1.00459
2025-04-23,63.8246,33.9736,4.15614,3.52558,-0.0661539,29.851,1.00459
2025-04-24,64.3589,33.784,4.16447,3.51999,-0.0801236,30.5748,1.00459
2025-04-25,65.1603,34.712,4.17685,3.54708,-0.0654598,30.4483,1.00459
2025-04-28,65.3186,35.1709,4.17928,3.56022,-0.0547618,30.1476,1.00459
2025-04-29,64.814,35.0213,4.17152,3.55596,-0.0512359,29.7927,1.00459
