Date,SHEL Raw Price,VLO Raw Price,SHEL Log Price,VLO Log Price,Residual,Spread,Beta
2025-01-02,61.7661,121.125,4.12335,4.79682,0.019364,59.3587,0.924968
2025-01-03,63.1561,122.216,4.14561,4.80579,0.00775228,59.0604,0.924968
2025-01-06,63.3812,120.112,4.14917,4.78842,-0.0129112,56.7305,0.924968
2025-01-07,64.5363,121.951,4.16723,4.80362,-0.0144193,57.4147,0.924968
2025-01-08,63.3518,123.131,4.1487,4.81325,0.0123459,59.7794,0.924968
2025-01-10,63.5672,125.059,4.1521,4.82879,0.024742,61.4918,0.924968
2025-01-13,63.5868,131.157,4.15241,4.8764,0.0720669,67.5702,0.924968
2025-01-14,64.5167,131.855,4.16692,4.88171,0.0639478,67.3386,0.924968
2025-01-15,64.9572,135.642,4.17373,4.91002,0.085968,70.6848,0.924968
2025-01-16,65.0453,137.078,4.17508,4.92055,0.0952453,72.0327,0.924968
2025-01-17,65.3096,138.73,4.17914,4.93253,0.103477,73.4208,0.924968
2025-01-21,65.3585,137.235,4.17989,4.9217,0.0919491,71.8769,0.924968
2025-01-22,64.5558,132.859,4.16753,4.88928,0.0709664,68.3027,0.924968
2025-01-23,65.2508,138.396,4.17824,4.93012,0.101896,73.1451,0.924968
2025-01-24,64.0077,137.334,4.159,4.92241,0.111983,73.326,0.924968
2025-01-27,63.763,138.986,4.15517,4.93437,0.127486,75.2231,0.924968
2025-01-28,63.2148,135.858,4.14654,4.91161,0.112712,72.6436,0.924968
2025-01-29,63.4106,137.186,4.14963,4.92134,0.119577,73.7756,0.924968
2025-01-30,65.241,134.281,4.17809,4.89993,0.0718488,69.0398,0.924968
2025-01-31,64.458,131.881,4.16601,4.8819,0.0649866,67.4232,0.924968
2025-02-03,63.7923,135.034,4.15563,4.90553,0.0982162,71.2421,0.924968
2025-02-04,65.2215,141.787,4.17779,4.95433,0.12652,76.5657,0.924968
2025-02-05,65.1236,139.358,4.17629,4.93704,0.110627,74.2342,0.924968
2025-02-06,64.7614,133.16,4.17071,4.89155,0.0702947,68.3989,0.924968
2025-02-07,64.4971,131.961,4.16662,4.8825,0.0650262,67.4634,0.924968
2025-02-10,64.732,135.659,4.17026,4.91015,0.0893058,70.9271,0.924968
2025-02-11,65.9556,135.738,4.18898,4.91073,0.0725696,69.7829,0.924968
2025-02-12,65.3487,129.809,4.17974,4.86606,0.0364526,64.4601,0.924968
2025-02-13,65.9458,129.888,4.18883,4.86667,0.0286503,63.9423,0.924968
2025-02-14,66.4168,134.172,4.19595,4.89912,0.0545156,67.755,0.924968
2025-02-18,67.0994,137.028,4.20618,4.92018,0.0661179,69.9281,0.924968
2025-02-19,66.8818,135.996,4.20293,4.91263,0.061569,69.1145,0.924968
2025-02-20,67.6535,137.97,4.2144,4.92703,0.0653628,70.3161,0.924968
2025-02-21,65.9913,133.607,4.18952,4.8949,0.0562382,67.6152,0.924968
2025-02-24,66.1793,133.924,4.19237,4.89727,0.0559792,67.7445,0.924968
2025-02-25,66.1892,132.536,4.19252,4.88685,0.0454211,66.3464,0.924968
2025-02-26,66.6839,129.065,4.19996,4.86032,0.0119988,62.3812,0.924968
2025-02-27,66.5553,128.54,4.19803,4.85624,0.00970443,61.9843,0.924968
2025-02-28,66.7433,129.63,4.20085,4.86469,0.0155455,62.887,0.924968
2025-03-03,65.7539,127.32,4.18592,4.8467,0.0113757,61.566,0.924968
2025-03-04,65.4966,126.537,4.182,4.84053,0.00882981,61.0399,0.924968
