Date,SM Raw Price,ET Raw Price,SM Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,39.607,19.0293,3.67901,2.94598,-0.0302141,20.5778,0.263051
2025-01-03,40.0213,18.9617,3.68941,2.94242,-0.0365086,21.0596,0.263051
2025-01-06,40.2974,18.9424,3.69629,2.9414,-0.0393363,21.355,0.263051
2025-01-07,42.0923,18.8169,3.73987,2.93475,-0.0574478,23.2755,0.263051
2025-01-08,42.0628,19.0486,3.73916,2.94699,-0.045024,23.0142,0.263051
2025-01-10,42.7531,18.7493,3.75544,2.93116,-0.0651431,24.0038,0.263051
2025-01-13,43.118,18.7976,3.76394,2.93373,-0.0648074,24.3204,0.263051
2025-01-14,43.3153,19.2417,3.76851,2.95708,-0.0426567,24.0736,0.263051
2025-01-15,44.0747,19.3479,3.78588,2.96258,-0.0417243,24.7268,0.263051
2025-01-16,43.5125,19.5506,3.77305,2.97301,-0.0279232,23.9619,0.263051
2025-01-17,42.615,19.5893,3.75221,2.97498,-0.0204676,23.0258,0.263051
2025-01-21,41.3034,20.1878,3.72094,3.00508,0.0178557,21.1155,0.263051
2025-01-22,41.2047,20.1975,3.71855,3.00556,0.0189628,21.0072,0.263051
2025-01-23,40.6524,20.3327,3.70506,3.01223,0.0291822,20.3198,0.263051
2025-01-24,39.7308,20.323,3.68213,3.01175,0.0347398,19.4078,0.263051
2025-01-27,39.3344,19.1258,3.6721,2.95104,-0.0233361,20.2085,0.263051
2025-01-28,39.3244,19.6472,3.67185,2.97793,0.00362431,19.6773,0.263051
2025-01-29,39.6911,19.821,3.68113,2.98674,0.00998913,19.8702,0.263051
2025-01-30,39.2551,20.352,3.67008,3.01318,0.0393325,18.9031,0.263051
2025-01-31,37.6199,19.7727,3.62753,2.9843,0.021649,17.8472,0.263051
2025-02-03,37.0451,20.043,3.61213,2.99788,0.0392785,17.002,0.263051
2025-02-04,37.9271,20.0527,3.63567,2.99836,0.0335704,17.8744,0.263051
2025-02-05,37.5108,20.072,3.62463,2.99932,0.0374358,17.4389,0.263051
2025-02-06,36.9063,19.6665,3.60838,2.97892,0.0213008,17.2398,0.263051
2025-02-07,37.0451,19.5537,3.61213,2.97316,0.0145601,17.4914,0.263051
2025-02-10,39.0569,19.7106,3.66502,2.98116,0.008645,19.3462,0.263051
2025-02-11,40.2461,19.4359,3.69501,2.96712,-0.0132805,20.8102,0.263051
