Date,SM Raw Price,WMB Raw Price,SM Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,39.607,54.9218,3.67901,4.00591,-0.0244934,15.3147,-0.0528638
2025-01-03,40.0213,55.6294,3.68941,4.01871,-0.0111411,15.6082,-0.0528638
2025-01-06,40.2974,54.853,3.69629,4.00466,-0.0248334,14.5556,-0.0528638
2025-01-07,42.0923,54.5974,3.73987,3.99999,-0.0271993,12.5051,-0.0528638
2025-01-08,42.0628,55.423,3.73916,4.01499,-0.0122281,13.3603,-0.0528638
2025-01-10,42.7531,54.5679,3.75544,3.99945,-0.026916,11.8148,-0.0528638
2025-01-13,43.118,55.0692,3.76394,4.00859,-0.0173228,11.9512,-0.0528638
2025-01-14,43.3153,57.0644,3.76851,4.04418,0.0185081,13.7491,-0.0528638
2025-01-15,44.0747,57.0152,3.78588,4.04332,0.0185653,12.9406,-0.0528638
2025-01-16,43.5125,58.1652,3.77305,4.06329,0.037855,14.6527,-0.0528638
2025-01-17,42.615,58.1259,3.75221,4.06261,0.0360771,15.5108,-0.0528638
2025-01-21,41.3034,59.5903,3.72094,4.08749,0.0593067,18.287,-0.0528638
2025-01-22,41.2047,58.1848,3.71855,4.06362,0.0353121,16.9801,-0.0528638
2025-01-23,40.6524,58.4699,3.70506,4.06851,0.0394854,17.8174,-0.0528638
2025-01-24,39.7308,58.5485,3.68213,4.06986,0.039617,18.8177,-0.0528638
2025-01-27,39.3344,53.6146,3.6721,3.98182,-0.0489475,14.2802,-0.0528638
2025-01-28,39.3244,54.2534,3.67185,3.99367,-0.0371156,14.929,-0.0528638
2025-01-29,39.6911,54.3812,3.68113,3.99602,-0.0342726,14.6901,-0.0528638
2025-01-30,39.2551,55.6196,3.67008,4.01854,-0.0123396,16.3645,-0.0528638
2025-01-31,37.6199,54.4795,3.62753,3.99782,-0.0353002,16.8596,-0.0528638
2025-02-03,37.0451,55.2363,3.61213,4.01162,-0.0223183,18.1912,-0.0528638
2025-02-04,37.9271,54.7645,3.63567,4.00304,-0.029652,16.8374,-0.0528638
2025-02-05,37.5108,55.8751,3.62463,4.02312,-0.0101584,18.3643,-0.0528638
2025-02-06,36.9063,55.0495,3.60838,4.00823,-0.0259033,18.1432,-0.0528638
2025-02-07,37.0451,54.9807,3.61213,4.00698,-0.0269554,17.9357,-0.0528638
2025-02-10,39.0569,55.2068,3.66502,4.01109,-0.0200567,16.1499,-0.0528638
2025-02-11,40.2461,54.2927,3.69501,3.99439,-0.0351665,14.0466,-0.0528638
2025-02-12,38.5613,53.8799,3.65225,3.98676,-0.0450593,15.3186,-0.0528638
2025-02-13,38.6208,56.4747,3.65379,4.03379,0.00205603,17.8539,-0.0528638
2025-02-14,38.1748,56.0029,3.64218,4.0254,-0.00694672,17.8281,-0.0528638
2025-02-18,38.2739,56.8088,3.64477,4.03969,0.00747878,18.5349,-0.0528638
2025-02-19,38.4821,57.2708,3.65019,4.04779,0.0158641,18.7887,-0.0528638
2025-02-20,36.7775,57.4477,3.60489,4.05087,0.0165534,20.6702,-0.0528638
2025-02-21,34.0422,56.455,3.5276,4.03344,-0.00496299,22.4128,-0.0528638
2025-02-24,33.517,56.3469,3.51205,4.03153,-0.00770179,22.8299,-0.0528638
2025-02-25,32.7836,55.2166,3.48993,4.01126,-0.0291346,22.433,-0.0528638
2025-02-26,32.0799,55.9243,3.46823,4.024,-0.0175471,23.8443,-0.0528638
2025-02-27,32.2286,55.2952,3.47285,4.01269,-0.0286143,23.0666,-0.0528638
2025-02-28,32.4169,57.1823,3.47868,4.04624,0.00525165,24.7654,-0.0528638
2025-03-03,29.7411,56.6123,3.39253,4.03623,-0.00932171,26.8712,-0.0528638
2025-03-04,28.5915,55.826,3.35311,4.02224,-0.0253919,27.2345,-0.0528638
2025-03-05,27.2734,55.2559,3.30591,4.01198,-0.0381506,27.9825,-0.0528638
2025-03-06,26.9067,53.6735,3.29238,3.98292,-0.0679217,26.7668,-0.0528638
2025-03-07,27.3428,53.4475,3.30845,3.9787,-0.0712925,26.1047,-0.0528638
2025-03-10,27.1248,53.0937,3.30045,3.97206,-0.0783578,25.9689,-0.0528638
2025-03-11,28.8095,54.0077,3.36071,3.98913,-0.0581029,25.1982,-0.0528638
2025-03-12,29.5132,55.3346,3.38484,4.0134,-0.0325564,25.8214,-0.0528638
2025-03-13,28.5122,55.2166,3.35033,4.01126,-0.0365142,26.7044,-0.0528638
2025-03-14,29.7213,56.7934,3.39186,4.03942,-0.00616279,27.0721,-0.0528638
2025-03-17,29.9889,57.9041,3.40083,4.05879,0.0136787,27.9152,-0.0528638
2025-03-18,30.0285,57.914,3.40215,4.05896,0.0139198,27.8855,-0.0528638
