Date,VLO Raw Price,HES Raw Price,VLO Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,121.125,134.963,4.79682,4.905,-0.0170002,13.8382,0.533902
2025-01-03,122.216,135.93,4.80579,4.91214,-0.0146536,13.7131,0.533902
2025-01-06,120.112,135.461,4.78842,4.90869,-0.00883064,15.3495,0.533902
2025-01-07,121.951,138.142,4.80362,4.92828,0.00265359,16.1912,0.533902
2025-01-08,123.131,139.338,4.81325,4.9369,0.00613122,16.2069,0.533902
2025-01-10,125.059,141.929,4.82879,4.95533,0.016263,16.8703,0.533902
2025-01-13,131.157,144.341,4.8764,4.97218,0.00769454,13.1841,0.533902
2025-01-14,131.855,146.185,4.88171,4.98487,0.0175521,14.3296,0.533902
2025-01-15,135.642,148.417,4.91002,5.00003,0.0175911,12.7753,0.533902
2025-01-16,137.078,149.225,4.92055,5.00545,0.0173931,12.1466,0.533902
2025-01-17,138.73,150.839,4.93253,5.01621,0.0217572,12.1088,0.533902
2025-01-21,137.235,148.158,4.9217,4.99828,0.00960871,10.9229,0.533902
2025-01-22,132.859,145.099,4.88928,4.97741,0.0060464,12.24,0.533902
2025-01-23,138.396,144.371,4.93012,4.97239,-0.0207816,5.97508,0.533902
2025-01-24,137.334,143.913,4.92241,4.96921,-0.0198485,6.57886,0.533902
2025-01-27,138.986,145.617,4.93437,4.98098,-0.0144613,6.63074,0.533902
2025-01-28,135.858,144.56,4.91161,4.9737,-0.00959057,8.70201,0.533902
2025-01-29,137.186,144.67,4.92134,4.97446,-0.0140251,7.48386,0.533902
2025-01-30,134.281,145.358,4.89993,4.9792,0.00214547,11.0769,0.533902
2025-01-31,131.881,138.561,4.8819,4.93131,-0.0361163,6.67952,0.533902
2025-02-03,135.034,138.361,4.90553,4.92987,-0.050171,3.32697,0.533902
2025-02-04,141.787,142.298,4.95433,4.95792,-0.0481691,0.51091,0.533902
2025-02-05,139.358,142.258,4.93704,4.95764,-0.0392221,2.90044,0.533902
2025-02-06,133.16,141.451,4.89155,4.95195,-0.0206254,8.2906,0.533902
2025-02-07,131.961,142.458,4.8825,4.95904,-0.00870204,10.497,0.533902
2025-02-10,135.659,145.338,4.91015,4.97906,-0.00344388,9.67863,0.533902
2025-02-11,135.738,146.504,4.91073,4.98705,0.00423499,10.7654,0.533902
2025-02-12,129.809,144.311,4.86606,4.97197,0.013004,14.5025,0.533902
2025-02-13,129.888,145.358,4.86667,4.9792,0.019903,15.4696,0.533902
2025-02-14,134.172,146.055,4.89912,4.98399,0.00736735,11.8836,0.533902
2025-02-18,137.028,147.471,4.92018,4.99363,0.00576556,10.443,0.533902
2025-02-19,135.996,148.766,4.91263,5.00238,0.0185461,12.7699,0.533902
2025-02-20,137.97,150.45,4.92703,5.01363,0.0221132,12.4809,0.533902
2025-02-21,133.607,147.61,4.8949,4.99457,0.0202096,14.0035,0.533902
2025-02-24,133.924,148.248,4.89727,4.99889,0.023255,14.3241,0.533902
2025-02-25,132.536,146.454,4.88685,4.98671,0.0166435,13.9183,0.533902
2025-02-26,129.065,144.979,4.86032,4.97659,0.020688,15.9139,0.533902
2025-02-27,128.54,146.414,4.85624,4.98644,0.0327168,17.8746,0.533902
2025-02-28,129.63,148.437,4.86469,5.00016,0.0419287,18.807,0.533902
2025-03-03,127.32,143.604,4.8467,4.96706,0.0184248,16.2838,0.533902
2025-03-04,126.537,141.909,4.84053,4.95519,0.00985155,15.3728,0.533902
2025-03-05,120.736,140.863,4.7936,4.94779,0.0275044,20.1272,0.533902
2025-03-06,124.94,142.856,4.82783,4.96184,0.0232801,17.9161,0.533902
2025-03-07,125.783,146.932,4.83456,4.98997,0.0478245,21.1494,0.533902
2025-03-10,125.733,147.74,4.83416,4.99545,0.0535141,22.0063,0.533902
2025-03-11,121.995,144.122,4.80398,4.97066,0.0448367,22.1268,0.533902
2025-03-12,124.127,143.544,4.8213,4.96664,0.0315682,19.4169,0.533902
2025-03-13,124.742,143.434,4.82625,4.96588,0.0281663,18.6924,0.533902
2025-03-14,128.054,147.63,4.85245,4.99471,0.0430088,19.5763,0.533902
2025-03-17,131.832,150.45,4.88153,5.01363,0.0464067,18.6184,0.533902
2025-03-18,130.919,152.82,4.87458,5.02926,0.0657441,21.9007,0.533902
2025-03-19,132.714,156.38,4.8882,5.05229,0.0815028,23.6659,0.533902
2025-03-20,133.696,157.37,4.89557,5.0586,0.0838787,23.6742,0.533902
2025-03-21,130.404,156.58,4.87064,5.05357,0.0921573,26.1763,0.533902
2025-03-24,130.84,157.35,4.87398,5.05847,0.0952796,26.51,0.533902
2025-03-25,130.89,158.29,4.87435,5.06443,0.101033,27.4004,0.533902
2025-03-26,133.388,160.52,4.89327,5.07842,0.104927,27.1316,0.533902
2025-03-27,132.109,159.07,4.88363,5.06934,0.100997,26.9608,0.533902
2025-03-28,130.374,158.45,4.87041,5.06544,0.104151,28.076,0.533902
2025-03-31,130.959,159.73,4.87488,5.07348,0.109806,28.771,0.533902
2025-04-01,132.615,161.29,4.88745,5.0832,0.112817,28.675,0.533902
2025-04-02,132.496,160.02,4.88655,5.0753,0.105391,27.524,0.533902
2025-04-03,113.329,148.38,4.73029,4.99978,0.113297,35.0514,0.533902
2025-04-04,103.809,133.56,4.64256,4.89455,0.054913,29.7507,0.533902
2025-04-07,105.773,130.59,4.66129,4.87206,0.0224215,24.8173,0.533902
2025-04-08,104.295,127.51,4.64723,4.84819,0.00606392,23.2148,0.533902
2025-04-09,114.925,137.97,4.74428,4.92704,0.0330878,23.045,0.533902
2025-04-10,108.093,127.16,4.68299,4.84545,-0.0157805,19.067,0.533902
2025-04-11,109.769,128.5,4.69838,4.85593,-0.0135114,18.7312,0.533902
2025-04-14,109.402,127.91,4.69503,4.85133,-0.0163259,18.5081,0.533902
2025-04-15,106.645,127.21,4.66951,4.84584,-0.00818842,20.5647,0.533902
2025-04-16,106.229,127.95,4.6656,4.85164,-0.000299051,21.7212,0.533902
2025-04-17,109.134,130.64,4.69258,4.87245,0.00610076,21.5058,0.533902
2025-04-21,107.924,126.32,4.68143,4.83882,-0.021575,18.3956,0.533902
2025-04-22,111.514,130.38,4.71415,4.87045,-0.00740866,18.866,0.533902
2025-04-23,113.537,130.03,4.73213,4.86777,-0.0196949,16.4932,0.533902
2025-04-24,112.406,132.38,4.72212,4.88568,0.0035589,19.9736,0.533902
2025-04-25,112.912,132.34,4.72661,4.88537,0.000859999,19.4279,0.533902
2025-04-28,113.785,133.84,4.73431,4.89665,0.00802053,20.0553,0.533902
2025-04-29,114.548,132.54,4.741,4.88688,-0.00531069,17.9918,0.533902
2025-04-30,115.113,129.05,4.74592,4.8602,-0.0346231,13.9366,0.533902
2025-05-01,113.914,129.79,4.73544,4.86592,-0.0233113,15.8764,0.533902
2025-05-02,117.93,132.31,4.77009,4.88515,-0.0225795,14.3804,0.533902
2025-05-05,118.336,128.8,4.77353,4.85826,-0.0513037,10.4639,0.533902
2025-05-06,116.016,128.87,4.75373,4.8588,-0.0401878,12.8542,0.533902
2025-05-07,115.966,129.09,4.7533,4.86051,-0.0382538,13.1238,0.533902
2025-05-08,120.706,130.88,4.79336,4.87428,-0.0458703,10.174,0.533902
2025-05-09,121.896,132.37,4.80317,4.8856,-0.0397876,10.4741,0.533902
2025-05-12,129.392,135.21,4.86285,4.90683,-0.0504235,5.8177,0.533902
2025-05-13,133.973,135.7,4.89764,4.91045,-0.065382,1.72656,0.533902
2025-05-14,133.19,134.79,4.89178,4.90372,-0.0689797,1.5999,0.533902
2025-05-15,134.231,135.07,4.89956,4.90579,-0.0710617,0.83876,0.533902
2025-05-16,134.598,134.93,4.90229,4.90476,-0.0735562,0.331848,0.533902
2025-05-19,133.2,132.79,4.89185,4.88877,-0.0839685,0.410004,0.533902
2025-05-20,132.21,132.05,4.88439,4.88318,-0.0855737,0.160004,0.533902
2025-05-21,127.8,130.16,4.85047,4.86876,-0.0818772,2.36,0.533902
2025-05-22,128.72,130.02,4.85764,4.86769,-0.0867831,1.3,0.533902
2025-05-23,128.55,131.36,4.85632,4.87794,-0.0758241,2.81,0.533902
2025-05-27,130.71,132.58,4.87298,4.88719,-0.0754761,1.87,0.533902
2025-05-28,126.93,131.07,4.84364,4.87573,-0.0712631,4.14001,0.533902
2025-05-29,129.16,133.62,4.86105,4.895,-0.0612934,4.45999,0.533902
2025-05-30,128.97,132.19,4.85958,4.88424,-0.071267,3.22,0.533902
2025-06-02,128.3,133.75,4.85437,4.89597,-0.0567541,5.45,0.533902
2025-06-03,130.95,135.96,4.87482,4.91236,-0.0512809,5.01001,0.533902
2025-06-04,126.54,133.45,4.84056,4.89373,-0.0516249,6.91,0.533902
2025-06-05,126.88,133.05,4.84324,4.89073,-0.0560593,6.17001,0.533902
2025-06-06,128.35,136.13,4.85476,4.91361,-0.0393242,7.78,0.533902
2025-06-09,128.26,136.63,4.85406,4.91728,-0.0352834,8.37001,0.533902
2025-06-10,131.93,138.66,4.88227,4.93202,-0.0355975,6.73001,0.533902
2025-06-11,134.06,140.58,4.89829,4.94578,-0.0303966,6.52,0.533902
2025-06-12,133.5,141.14,4.8941,4.94975,-0.0241862,7.64,0.533902
2025-06-13,134.11,142.26,4.89866,4.95766,-0.0187162,8.14999,0.533902
