Date,VLO Raw Price,MUR Raw Price,VLO Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,121.125,30.1631,4.79682,3.40662,0.250921,90.9617,1.18316
2025-01-03,122.216,30.0559,4.80579,3.40306,0.236745,92.1606,1.18316
2025-01-06,120.112,29.9682,4.78842,3.40014,0.254378,90.1435,1.18316
2025-01-07,121.951,30.8256,4.80362,3.42834,0.264604,91.1254,1.18316
2025-01-08,123.131,31.9265,4.81325,3.46344,0.2883,91.2047,1.18316
2025-01-10,125.059,32.3746,4.82879,3.47738,0.283859,92.6843,1.18316
2025-01-13,131.157,32.9592,4.8764,3.49527,0.245425,98.1978,1.18316
2025-01-14,131.855,33.0274,4.88171,3.49734,0.241209,98.8279,1.18316
2025-01-15,135.642,32.5987,4.91002,3.48427,0.194645,103.043,1.18316
2025-01-16,137.078,32.1993,4.92055,3.47194,0.169856,104.879,1.18316
2025-01-17,138.73,31.4101,4.93253,3.44713,0.130865,107.32,1.18316
2025-01-21,137.235,30.6794,4.9217,3.42359,0.120147,106.556,1.18316
2025-01-22,132.859,30.0656,4.88928,3.40338,0.138287,102.793,1.18316
2025-01-23,138.396,29.6175,4.93012,3.38836,0.0749556,108.778,1.18316
2025-01-24,137.334,28.9745,4.92241,3.36642,0.0621221,108.359,1.18316
2025-01-27,138.986,28.7894,4.93437,3.36001,0.0415624,110.197,1.18316
2025-01-28,135.858,28.4484,4.91161,3.34809,0.0565769,107.41,1.18316
2025-01-29,137.186,28.4289,4.92134,3.34741,0.0443845,108.757,1.18316
2025-01-30,134.281,26.7629,4.89993,3.28702,0.00932169,107.518,1.18316
2025-01-31,131.881,25.9445,4.8819,3.25596,-0.000400067,105.937,1.18316
2025-02-03,135.034,24.8923,4.90553,3.21456,-0.069757,110.142,1.18316
2025-02-04,141.787,25.7886,4.95433,3.24993,-0.0921171,115.999,1.18316
2025-02-05,139.358,25.9932,4.93704,3.25784,-0.0637668,113.365,1.18316
2025-02-06,133.16,25.623,4.89155,3.24349,-0.0242897,107.537,1.18316
2025-02-07,131.961,26.1296,4.8825,3.26307,0.00599816,105.831,1.18316
2025-02-10,135.659,27.3085,4.91015,3.3072,0.0174201,108.351,1.18316
2025-02-11,135.738,27.9905,4.91073,3.33186,0.0413949,107.748,1.18316
2025-02-12,129.809,26.9675,4.86606,3.29463,0.0570118,102.841,1.18316
2025-02-13,129.888,27.2013,4.86667,3.30327,0.0649221,102.687,1.18316
2025-02-14,134.172,27.5326,4.89912,3.31537,0.038636,106.639,1.18316
