Date,VLO Raw Price,SM Raw Price,VLO Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,121.125,39.607,4.79682,3.67901,0.386762,81.5177,1.98003
2025-01-03,122.216,40.0213,4.80579,3.68941,0.379399,82.1952,1.98003
2025-01-06,120.112,40.2974,4.78842,3.69629,0.420672,79.8143,1.98003
2025-01-07,121.951,42.0923,4.80362,3.73987,0.434161,79.8586,1.98003
2025-01-08,123.131,42.0628,4.81325,3.73916,0.414387,81.0684,1.98003
2025-01-10,125.059,42.7531,4.82879,3.75544,0.399906,82.3059,1.98003
2025-01-13,131.157,43.118,4.8764,3.76394,0.314136,88.039,1.98003
2025-01-14,131.855,43.3153,4.88171,3.76851,0.308186,88.5401,1.98003
2025-01-15,135.642,44.0747,4.91002,3.78588,0.269504,91.5674,1.98003
2025-01-16,137.078,43.5125,4.92055,3.77305,0.235816,93.5655,1.98003
2025-01-17,138.73,42.615,4.93253,3.75221,0.191249,96.1153,1.98003
2025-01-21,137.235,41.3034,4.9217,3.72094,0.181439,95.932,1.98003
2025-01-22,132.859,41.2047,4.88928,3.71855,0.243226,91.6538,1.98003
2025-01-23,138.396,40.6524,4.93012,3.70506,0.148879,97.7435,1.98003
2025-01-24,137.334,39.7308,4.92241,3.68213,0.141202,97.603,1.98003
2025-01-27,138.986,39.3344,4.93437,3.6721,0.107494,99.6517,1.98003
2025-01-28,135.858,39.3244,4.91161,3.67185,0.152309,96.5339,1.98003
2025-01-29,137.186,39.6911,4.92134,3.68113,0.142333,97.495,1.98003
2025-01-30,134.281,39.2551,4.89993,3.67008,0.17367,95.0257,1.98003
2025-01-31,131.881,37.6199,4.8819,3.62753,0.166825,94.2613,1.98003
2025-02-03,135.034,37.0451,4.90553,3.61213,0.104643,97.9894,1.98003
2025-02-04,141.787,37.9271,4.95433,3.63567,0.0315529,103.86,1.98003
2025-02-05,139.358,37.5108,4.93704,3.62463,0.0547376,101.847,1.98003
2025-02-06,133.16,36.9063,4.89155,3.60838,0.128563,96.254,1.98003
2025-02-07,131.961,37.0451,4.8825,3.61213,0.150237,94.9155,1.98003
2025-02-10,135.659,39.0569,4.91015,3.66502,0.148387,96.6023,1.98003
2025-02-11,135.738,40.2461,4.91073,3.69501,0.177225,95.4924,1.98003
2025-02-12,129.809,38.5613,4.86606,3.65225,0.222905,91.2474,1.98003
2025-02-13,129.888,38.6208,4.86667,3.65379,0.223236,91.2673,1.98003
2025-02-14,134.172,38.1748,4.89912,3.64218,0.147374,95.9969,1.98003
2025-02-18,137.028,38.2739,4.92018,3.64477,0.108265,98.7536,1.98003
2025-02-19,135.996,38.4821,4.91263,3.65019,0.128646,97.5142,1.98003
2025-02-20,137.97,36.7775,4.92703,3.60489,0.0548162,101.192,1.98003
2025-02-21,133.607,34.0422,4.8949,3.5276,0.0411574,99.5644,1.98003
2025-02-24,133.924,33.517,4.89727,3.51205,0.0209109,100.407,1.98003
2025-02-25,132.536,32.7836,4.88685,3.48993,0.0194191,99.7521,1.98003
2025-02-26,129.065,32.0799,4.86032,3.46823,0.0502621,96.9851,1.98003
2025-02-27,128.54,32.2286,4.85624,3.47285,0.0629644,96.3109,1.98003
2025-02-28,129.63,32.4169,4.86469,3.47868,0.0520589,97.2134,1.98003
2025-03-03,127.32,29.7411,4.8467,3.39253,0.00151717,97.5788,1.98003
2025-03-04,126.537,28.5915,4.84053,3.35311,-0.0256835,97.945,1.98003
2025-03-05,120.736,27.2734,4.7936,3.30591,0.0200363,93.4623,1.98003
2025-03-06,124.94,26.9067,4.82783,3.29238,-0.0612763,98.0333,1.98003
2025-03-07,125.783,27.3428,4.83456,3.30845,-0.0585124,98.4401,1.98003
2025-03-10,125.733,27.1248,4.83416,3.30045,-0.0657378,98.6086,1.98003
2025-03-11,121.995,28.8095,4.80398,3.36071,0.0542845,93.1855,1.98003
2025-03-12,124.127,29.5132,4.8213,3.38484,0.0441118,94.6138,1.98003
2025-03-13,124.742,28.5122,4.82625,3.35033,-0.000174856,96.2296,1.98003
2025-03-14,128.054,29.7213,4.85245,3.39186,-0.0105284,98.3324,1.98003
2025-03-17,131.832,29.9889,4.88153,3.40083,-0.059137,101.843,1.98003
2025-03-18,130.919,30.0285,4.87458,3.40215,-0.0440668,100.891,1.98003
2025-03-19,132.714,30.9204,4.8882,3.43142,-0.0417562,101.794,1.98003
2025-03-20,133.696,30.6529,4.89557,3.42273,-0.0650401,103.043,1.98003
2025-03-21,130.404,30.3952,4.87064,3.41428,-0.0241157,100.009,1.98003
2025-03-24,130.84,31.525,4.87398,3.45078,0.00576643,99.315,1.98003
2025-03-25,130.89,30.2564,4.87435,3.40971,-0.0360548,100.633,1.98003
2025-03-26,133.388,30.5141,4.89327,3.41819,-0.0650191,102.874,1.98003
2025-03-27,132.109,29.9789,4.88363,3.4005,-0.0636333,102.13,1.98003
2025-03-28,130.374,29.1366,4.87041,3.37199,-0.0659542,101.237,1.98003
2025-03-31,130.959,29.6816,4.87488,3.39053,-0.056285,101.277,1.98003
2025-04-01,132.615,29.5032,4.88745,3.3845,-0.0871935,103.112,1.98003
2025-04-02,132.496,30.2465,4.88655,3.40938,-0.0605348,102.249,1.98003
2025-04-03,113.329,25.103,4.73029,3.22299,0.0624741,88.2256,1.98003
2025-04-04,103.809,22.0605,4.64256,3.09379,0.106995,81.7488,1.98003
2025-04-07,105.773,21.6146,4.66129,3.07337,0.049474,84.1581,1.98003
2025-04-08,104.295,20.2073,4.64723,3.00604,0.0100027,84.0879,1.98003
2025-04-09,114.925,24.3994,4.74428,3.19456,0.00634593,90.5256,1.98003
2025-04-10,108.093,21.0497,4.68299,3.04689,-0.0199746,87.0433,1.98003
2025-04-11,109.769,21.4758,4.69838,3.06693,-0.0303932,88.293,1.98003
2025-04-14,109.402,21.7632,4.69503,3.08022,-0.0104704,87.6387,1.98003
2025-04-15,106.645,21.5254,4.66951,3.06923,0.029071,85.1199,1.98003
2025-04-16,106.229,22.12,4.6656,3.09648,0.0640683,84.1088,1.98003
2025-04-17,109.134,23.03,4.69258,3.1368,0.0509572,86.1042,1.98003
2025-04-21,107.924,22.02,4.68143,3.09195,0.0281817,85.9044,1.98003
2025-04-22,111.514,22.88,4.71415,3.13026,0.00170955,88.634,1.98003
2025-04-23,113.537,22.99,4.73213,3.13506,-0.0290898,90.5468,1.98003
2025-04-24,112.406,23.17,4.72212,3.14286,-0.00147815,89.2364,1.98003
2025-04-25,112.912,23.48,4.72661,3.15615,0.00292433,89.4321,1.98003
2025-04-28,113.785,23.6,4.73431,3.16125,-0.00722087,90.1847,1.98003
2025-04-29,114.548,23.26,4.741,3.14674,-0.0349745,91.2882,1.98003
