Date,VLO Raw Price,WMB Raw Price,VLO Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,121.125,54.9218,4.79682,4.00591,-0.0385371,66.203,0.0464721
2025-01-03,122.216,55.6294,4.80579,4.01871,-0.0261517,66.5871,0.0464721
2025-01-06,120.112,54.853,4.78842,4.00466,-0.0394003,65.2587,0.0464721
2025-01-07,121.951,54.5974,4.80362,3.99999,-0.0447761,67.3535,0.0464721
2025-01-08,123.131,55.423,4.81325,4.01499,-0.0302154,67.7082,0.0464721
2025-01-10,125.059,54.5679,4.82879,3.99945,-0.0464858,70.491,0.0464721
2025-01-13,131.157,55.0692,4.8764,4.00859,-0.0395545,76.0878,0.0464721
2025-01-14,131.855,57.0644,4.88171,4.04418,-0.00421152,74.7909,0.0464721
2025-01-15,135.642,57.0152,4.91002,4.04332,-0.00638892,78.6268,0.0464721
2025-01-16,137.078,58.1652,4.92055,4.06329,0.01309,78.9128,0.0464721
2025-01-17,138.73,58.1259,4.93253,4.06261,0.011857,80.6045,0.0464721
2025-01-21,137.235,59.5903,4.9217,4.08749,0.0372428,77.6451,0.0464721
2025-01-22,132.859,58.1848,4.88928,4.06362,0.0148808,74.6737,0.0464721
2025-01-23,138.396,58.4699,4.93012,4.06851,0.0178699,79.9261,0.0464721
2025-01-24,137.334,58.5485,4.92241,4.06986,0.0195718,78.7852,0.0464721
2025-01-27,138.986,53.6146,4.93437,3.98182,-0.0690183,85.3715,0.0464721
2025-01-28,135.858,54.2534,4.91161,3.99367,-0.0561154,81.605,0.0464721
2025-01-29,137.186,54.3812,4.92134,3.99602,-0.054215,82.805,0.0464721
2025-01-30,134.281,55.6196,4.89993,4.01854,-0.0307032,78.6612,0.0464721
2025-01-31,131.881,54.4795,4.8819,3.99782,-0.0505766,77.4017,0.0464721
2025-02-03,135.034,55.2363,4.90553,4.01162,-0.0378789,79.7981,0.0464721
2025-02-04,141.787,54.7645,4.95433,4.00304,-0.0487242,87.0226,0.0464721
2025-02-05,139.358,55.8751,4.93704,4.02312,-0.027844,83.4826,0.0464721
2025-02-06,133.16,55.0495,4.89155,4.00823,-0.0406159,78.1108,0.0464721
2025-02-07,131.961,54.9807,4.8825,4.00698,-0.0414458,76.9798,0.0464721
2025-02-10,135.659,55.2068,4.91015,4.01109,-0.0386273,80.4523,0.0464721
2025-02-11,135.738,54.2927,4.91073,3.99439,-0.0553499,81.4457,0.0464721
2025-02-12,129.809,53.8799,4.86606,3.98676,-0.0609064,75.9288,0.0464721
2025-02-13,129.888,56.4747,4.86667,4.03379,-0.0139008,73.4134,0.0464721
2025-02-14,134.172,56.0029,4.89912,4.0254,-0.0237975,78.1689,0.0464721
2025-02-18,137.028,56.8088,4.92018,4.03969,-0.0104878,80.2187,0.0464721
