Date,WMB Raw Price,ET Raw Price,WMB Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,54.9218,19.0293,4.00591,2.94598,0.0411329,35.8925,-0.205636
2025-01-03,55.6294,18.9617,4.01871,2.94242,0.0402078,36.6677,-0.205636
2025-01-06,54.853,18.9424,4.00466,2.9414,0.0362985,35.9106,-0.205636
2025-01-07,54.5974,18.8169,3.99999,2.93475,0.0286903,35.7805,-0.205636
2025-01-08,55.423,19.0486,4.01499,2.94699,0.0440154,36.3744,-0.205636
2025-01-10,54.5679,18.7493,3.99945,2.93116,0.0249812,35.8186,-0.205636
2025-01-13,55.0692,18.7976,4.00859,2.93373,0.0294329,36.2716,-0.205636
2025-01-14,57.0644,19.2417,4.04418,2.95708,0.0601027,37.8227,-0.205636
2025-01-15,57.0152,19.3479,4.04332,2.96258,0.0654298,37.6673,-0.205636
2025-01-16,58.1652,19.5506,4.06329,2.97301,0.0799604,38.6145,-0.205636
2025-01-17,58.1259,19.5893,4.06261,2.97498,0.0817947,38.5366,-0.205636
2025-01-21,59.5903,20.1878,4.08749,3.00508,0.117011,39.4025,-0.205636
2025-01-22,58.1848,20.1975,4.06362,3.00556,0.112581,37.9873,-0.205636
2025-01-23,58.4699,20.3327,4.06851,3.01223,0.120255,38.1372,-0.205636
2025-01-24,58.5485,20.323,4.06986,3.01175,0.120057,38.2255,-0.205636
2025-01-27,53.6146,19.1258,3.98182,2.95104,0.0412401,34.4887,-0.205636
2025-01-28,54.2534,19.6472,3.99367,2.97793,0.0705701,34.6062,-0.205636
2025-01-29,54.3812,19.821,3.99602,2.98674,0.0798601,34.5602,-0.205636
2025-01-30,55.6196,20.352,4.01854,3.01318,0.110928,35.2676,-0.205636
2025-01-31,54.4795,19.7727,3.99782,2.9843,0.0777928,34.7068,-0.205636
2025-02-03,55.2363,20.043,4.01162,2.99788,0.0942091,35.1933,-0.205636
2025-02-04,54.7645,20.0527,4.00304,2.99836,0.0929268,34.7118,-0.205636
2025-02-05,55.8751,20.072,4.02312,2.99932,0.0980178,35.8031,-0.205636
2025-02-06,55.0495,19.6665,4.00823,2.97892,0.0745479,35.383,-0.205636
2025-02-07,54.9807,19.5537,4.00698,2.97316,0.0685371,35.4271,-0.205636
2025-02-10,55.2068,19.7106,4.01109,2.98116,0.0773769,35.4961,-0.205636
2025-02-11,54.2927,19.4359,3.99439,2.96712,0.0599083,34.8568,-0.205636
2025-02-12,53.8799,19.2789,3.98676,2.95901,0.0502293,34.601,-0.205636
2025-02-13,56.4747,19.4457,4.03379,2.96763,0.0685154,37.0289,-0.205636
2025-02-14,56.0029,19.6125,4.0254,2.97617,0.075331,36.3904,-0.205636
2025-02-18,56.8088,19.9167,4.03969,2.99156,0.0936579,36.8922,-0.205636
2025-02-19,57.2708,19.7401,4.04779,2.98265,0.0864169,37.5307,-0.205636
2025-02-20,57.4477,19.5635,4.05087,2.97366,0.0780645,37.8842,-0.205636
2025-02-21,56.455,19.0239,4.03344,2.94569,0.0465097,37.4312,-0.205636
2025-02-24,56.3469,18.6118,4.03153,2.9238,0.0242169,37.7351,-0.205636
2025-02-25,55.2166,18.5627,4.01126,2.92116,0.0174108,36.6539,-0.205636
2025-02-26,55.9243,18.7982,4.024,2.93376,0.0326347,37.1261,-0.205636
2025-02-27,55.2952,18.5824,4.01269,2.92221,0.01876,36.7129,-0.205636
2025-02-28,57.1823,18.9257,4.04624,2.94052,0.0439715,38.2566,-0.205636
2025-03-03,56.6123,18.6707,4.03623,2.92695,0.028341,37.9416,-0.205636
2025-03-04,55.826,18.1212,4.02224,2.89708,-0.00440393,37.7048,-0.205636
2025-03-05,55.2559,17.8563,4.01198,2.88236,-0.0212406,37.3996,-0.205636
2025-03-06,53.6735,17.3658,3.98292,2.8545,-0.0550725,36.3078,-0.205636
2025-03-07,53.4475,17.1303,3.9787,2.84085,-0.0695926,36.3172,-0.205636
2025-03-10,53.0937,16.9341,3.97206,2.82933,-0.0824792,36.1596,-0.205636
2025-03-11,54.0077,17.4933,3.98913,2.86182,-0.0464784,36.5144,-0.205636
2025-03-12,55.3346,18.0526,4.0134,2.89329,-0.0100192,37.282,-0.205636
2025-03-13,55.2166,17.8269,4.01126,2.88071,-0.0230368,37.3897,-0.205636
2025-03-14,56.7934,18.3763,4.03942,2.91106,0.0131076,38.4171,-0.205636
2025-03-17,57.9041,18.5431,4.05879,2.9201,0.0261257,39.361,-0.205636
2025-03-18,57.914,18.3273,4.05896,2.90839,0.0144525,39.5867,-0.205636
2025-03-19,58.8263,18.5824,4.07459,2.92221,0.0314894,40.244,-0.205636
2025-03-20,59.2527,18.4941,4.08181,2.91745,0.0282114,40.7587,-0.205636
2025-03-21,59.104,18.2488,4.0793,2.9041,0.0143433,40.8552,-0.205636
2025-03-24,60.5816,18.5235,4.10399,2.91904,0.0343624,42.0581,-0.205636
2025-03-25,60.4031,18.5235,4.10104,2.91904,0.0337556,41.8796,-0.205636
2025-03-26,59.4511,18.5725,4.08515,2.92168,0.0331337,40.8785,-0.205636
2025-03-27,58.9354,18.5235,4.07644,2.91904,0.0286974,40.4119,-0.205636
2025-03-28,58.6974,18.3567,4.0724,2.90999,0.0188203,40.3407,-0.205636
2025-03-31,59.2627,18.239,4.08198,2.90356,0.0143568,41.0237,-0.205636
2025-04-01,60.0659,18.3763,4.09544,2.91106,0.0246279,41.6896,-0.205636
2025-04-02,61.0873,18.5725,4.1123,2.92168,0.0387169,42.5148,-0.205636
2025-04-03,58.5387,17.3952,4.06969,2.85619,-0.0355363,41.1435,-0.205636
2025-04-04,54.1159,15.8548,3.99113,2.76348,-0.14441,38.261,-0.205636
2025-04-07,54.3935,15.5703,3.99625,2.74537,-0.161467,38.8232,-0.205636
2025-04-08,53.8779,15.3545,3.98672,2.73141,-0.177385,38.5234,-0.205636
