Date,WMB Raw Price,OKE Raw Price,WMB Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,54.9218,99.4384,4.00591,4.59954,0.0714203,44.5166,-0.524144
2025-01-03,55.6294,100.542,4.01871,4.61058,0.0891729,44.9131,-0.524144
2025-01-06,54.853,99.2918,4.00466,4.59806,0.0692883,44.4389,-0.524144
2025-01-07,54.5974,99.282,3.99999,4.59796,0.0667423,44.6846,-0.524144
2025-01-08,55.423,100.494,4.01499,4.61009,0.0867385,45.0706,-0.524144
2025-01-10,54.5679,99.4188,3.99945,4.59934,0.0678361,44.8509,-0.524144
2025-01-13,55.0692,101.598,4.00859,4.62102,0.0943085,46.5286,-0.524144
2025-01-14,57.0644,103.611,4.04418,4.64064,0.13258,46.5462,-0.524144
2025-01-15,57.0152,104.431,4.04332,4.64853,0.140019,47.4161,-0.524144
2025-01-16,58.1652,106.171,4.06329,4.66505,0.167003,48.0054,-0.524144
2025-01-17,58.1259,106.464,4.06261,4.6678,0.169405,48.3378,-0.524144
2025-01-21,59.5903,107.333,4.08749,4.67594,0.190582,47.743,-0.524144
2025-01-22,58.1848,103.865,4.06362,4.64309,0.145221,45.6798,-0.524144
2025-01-23,58.4699,102.487,4.06851,4.62973,0.134429,44.017,-0.524144
2025-01-24,58.5485,102.135,4.06986,4.6263,0.131696,43.5867,-0.524144
2025-01-27,53.6146,98.1486,3.98182,4.58648,0.045739,44.534,-0.524144
2025-01-28,54.2534,98.2952,3.99367,4.58798,0.0534397,44.0418,-0.524144
2025-01-29,54.3812,98.0802,3.99602,4.58579,0.0524834,43.699,-0.524144
2025-01-30,55.6196,97.5819,4.01854,4.58069,0.059192,41.9623,-0.524144
2025-01-31,54.4795,94.9438,3.99782,4.55328,0.0209289,40.4643,-0.524144
2025-02-03,55.2363,96.4152,4.01162,4.56866,0.0435393,41.179,-0.524144
2025-02-04,54.7645,95.8128,4.00304,4.5624,0.0327757,41.0483,-0.524144
2025-02-05,55.8751,96.6917,4.02312,4.57153,0.0524305,40.8166,-0.524144
2025-02-06,55.0495,94.6278,4.00823,4.54995,0.0230509,39.5782,-0.524144
2025-02-07,54.9807,94.6179,4.00698,4.54985,0.022291,39.6371,-0.524144
2025-02-10,55.2068,97.462,4.01109,4.57946,0.0540582,42.2553,-0.524144
2025-02-11,54.2927,97.6991,3.99439,4.58189,0.0477363,43.4063,-0.524144
2025-02-12,53.8799,96.4054,3.98676,4.56856,0.0304058,42.5254,-0.524144
2025-02-13,56.4747,97.7386,4.03379,4.5823,0.0687927,41.2639,-0.524144
2025-02-14,56.0029,96.6325,4.0254,4.57092,0.0530147,40.6296,-0.524144
