Date,XOM Raw Price,AR Raw Price,XOM Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,105.388,35.57,4.65765,3.5715,-0.0378174,69.818,1.05095
2025-01-03,105.928,34.94,4.66276,3.55363,-0.0610605,70.9882,1.05095
2025-01-06,105.81,36.01,4.66165,3.5838,-0.0297262,69.8003,1.05095
2025-01-07,106.802,36.68,4.67098,3.60223,-0.0210974,70.1222,1.05095
2025-01-08,105.015,37.86,4.6541,3.6339,0.0283033,67.1548,1.05095
2025-01-10,104.632,38.32,4.65045,3.64597,0.0442201,66.3118,1.05095
2025-01-13,107.333,38.3,4.67593,3.64545,0.0169153,69.0326,1.05095
2025-01-14,107.755,38.59,4.67986,3.65299,0.0203317,69.1649,1.05095
2025-01-15,109.513,40.23,4.69604,3.69461,0.0449444,69.2828,1.05095
2025-01-16,109.326,40.57,4.69434,3.70303,0.0551526,68.7562,1.05095
2025-01-17,110.308,40.46,4.70328,3.70031,0.0430389,69.8483,1.05095
2025-01-21,109.474,39.93,4.69568,3.68713,0.0378365,69.5435,1.05095
2025-01-22,107.568,40.74,4.67813,3.70721,0.0763706,66.8282,1.05095
2025-01-23,108.177,40.55,4.68377,3.70254,0.0657636,67.6271,1.05095
2025-01-24,106.714,40.15,4.67015,3.69262,0.0701636,66.5638,1.05095
2025-01-27,108.197,36.35,4.68395,3.59319,-0.0437687,71.8468,1.05095
2025-01-28,106.105,37.22,4.66443,3.61685,0.000401161,68.8849,1.05095
2025-01-29,106.724,37.35,4.67024,3.62033,-0.00222277,69.3737,1.05095
2025-01-30,107.608,37.85,4.67849,3.63363,0.00240723,69.7575,1.05095
2025-01-31,104.917,37.32,4.65317,3.61953,0.0149208,67.5966,1.05095
2025-02-03,105.172,38.33,4.6556,3.64623,0.0390697,66.8419,1.05095
2025-02-04,107.991,38.73,4.68204,3.65661,0.0216567,69.2605,1.05095
2025-02-05,107.912,39.6,4.68132,3.67883,0.0446362,68.312,1.05095
2025-02-06,106.488,38.3,4.66803,3.64545,0.0252179,68.1879,1.05095
2025-02-07,106.94,37.85,4.67227,3.63363,0.00894986,69.0897,1.05095
2025-02-10,108.982,40.02,4.69119,3.68938,0.0448125,68.9625,1.05095
2025-02-11,109.67,40.02,4.69748,3.68938,0.0382039,69.6499,1.05095
2025-02-12,106.37,39.38,4.66693,3.67326,0.0541878,66.9903,1.05095
2025-02-13,107.143,40.15,4.67417,3.69262,0.0659436,66.9932,1.05095
2025-02-14,107.252,39.84,4.67518,3.68487,0.057124,67.4122,1.05095
2025-02-18,109.135,39.74,4.69258,3.68236,0.0363229,69.3948,1.05095
2025-02-19,109.293,40.35,4.69404,3.69759,0.0500304,68.9434,1.05095
2025-02-20,110.978,39.51,4.70933,3.67655,0.0129186,71.4679,1.05095
2025-02-21,109.68,38.15,4.69757,3.64153,-0.00974458,71.5298,1.05095
2025-02-24,110.255,37.9,4.70279,3.63495,-0.0218116,72.3545,1.05095
2025-02-25,108.729,37.35,4.68885,3.62033,-0.021783,71.3786,1.05095
2025-02-26,108.461,37.04,4.68639,3.612,-0.0275283,71.4211,1.05095
2025-02-27,109.145,35.58,4.69268,3.57178,-0.0743471,73.5648,1.05095
2025-02-28,110.314,36.7,4.70333,3.60278,-0.0545526,73.614,1.05095
2025-03-03,106.777,36.15,4.67074,3.58768,-0.0353996,70.6266,1.05095
2025-03-04,106.559,36.52,4.66869,3.59786,-0.0230687,70.0386,1.05095
2025-03-05,104.478,36.38,4.64897,3.59402,-0.00618405,68.0977,1.05095
2025-03-06,106.638,33.78,4.66944,3.51987,-0.101841,72.8578,1.05095
2025-03-07,108.025,33.64,4.68236,3.51572,-0.119578,74.3851,1.05095
2025-03-10,110.78,34.69,4.70754,3.54645,-0.115305,76.0897,1.05095
2025-03-11,108.164,35.86,4.68365,3.57962,-0.0570199,72.3038,1.05095
2025-03-12,108.134,36.01,4.68337,3.5838,-0.0525569,72.1241,1.05095
2025-03-13,107.678,36.37,4.67915,3.59374,-0.03817,71.3083,1.05095
2025-03-14,110.879,37.57,4.70844,3.62621,-0.0364905,73.3088,1.05095
2025-03-17,112.722,38.9,4.72492,3.66099,-0.0190274,73.8218,1.05095
2025-03-18,112.603,39.87,4.72387,3.68562,0.00671167,72.7329,1.05095
2025-03-19,114.357,41.02,4.73932,3.71406,0.0189044,73.3368,1.05095
2025-03-20,114.842,40.97,4.74356,3.71284,0.0132321,73.8723,1.05095
2025-03-21,114.446,40.77,4.7401,3.70795,0.0119719,73.6759,1.05095
2025-03-24,114.743,41.21,4.7427,3.71868,0.0199801,73.5332,1.05095
2025-03-25,115.526,41.42,4.7495,3.72376,0.0179177,74.106,1.05095
2025-03-26,117.191,40.97,4.7638,3.71284,-0.00804157,76.2206,1.05095
2025-03-27,116.814,39.53,4.76058,3.67706,-0.0404397,77.2841,1.05095
2025-03-28,116.656,39.69,4.75923,3.6811,-0.0349731,76.9656,1.05095
2025-03-31,117.845,40.44,4.76937,3.69982,-0.0269108,77.4046,1.05095
2025-04-01,117.954,40.92,4.77029,3.71162,-0.0160829,77.0336,1.05095
2025-04-02,117.587,42,4.76718,3.73767,0.0132395,75.587,1.05095
2025-04-03,111.404,38.79,4.71316,3.65816,-0.00949986,72.614,1.05095
2025-04-04,103.388,33.46,4.63849,3.51035,-0.078831,69.9278,1.05095
2025-04-07,102.001,34.15,4.62498,3.53076,-0.0442222,67.8506,1.05095
2025-04-08,99.8504,32.24,4.60367,3.47321,-0.0793858,67.6104,1.05095
2025-04-09,104.834,34.89,4.65238,3.5522,-0.0515851,69.9445,1.05095
2025-04-10,99.018,31.92,4.5953,3.46323,-0.0805638,67.098,1.05095
2025-04-11,102.199,33.1,4.62692,3.49953,-0.0774915,69.0987,1.05095
2025-04-14,102.446,33.23,4.62934,3.50345,-0.076116,69.2164,1.05095
2025-04-15,102.159,33.1,4.62653,3.49953,-0.0770839,69.0591,1.05095
2025-04-16,103.239,34.3,4.63705,3.53515,-0.0525244,68.9392,1.05095
2025-04-17,105.944,34.42,4.66291,3.53864,-0.0762144,71.5242,1.05095
2025-04-21,104.389,32.06,4.64812,3.46761,-0.131697,72.3286,1.05095
2025-04-22,107.312,32.83,4.67574,3.49134,-0.136987,74.4816,1.05095
2025-04-23,106.39,34.29,4.66711,3.53485,-0.0844123,72.1001,1.05095
2025-04-24,107.639,34.54,4.67878,3.54212,-0.0894092,73.0986,1.05095
2025-04-25,107.579,35.33,4.67823,3.56473,-0.0662142,72.2492,1.05095
2025-04-28,107.639,35.93,4.67878,3.58157,-0.0499547,71.7086,1.05095
2025-04-29,107.371,36.18,4.67629,3.58851,-0.0404055,71.1911,1.05095
2025-04-30,104.666,34.83,4.65077,3.55048,-0.0516162,69.836,1.05095
2025-05-01,104.815,34.65,4.65219,3.5453,-0.0582888,70.1646,1.05095
2025-05-02,105.241,35.76,4.65625,3.57683,-0.0310202,69.4807,1.05095
2025-05-05,102.328,35.49,4.62818,3.56925,-0.00909756,66.8375,1.05095
2025-05-06,103.754,35.5,4.64203,3.56953,-0.0233691,68.2544,1.05095
2025-05-07,103.655,36.71,4.64107,3.60305,0.0111515,66.9453,1.05095
2025-05-08,105.102,37.39,4.65493,3.6214,0.0149394,67.712,1.05095
2025-05-09,106.331,38.71,4.66655,3.6561,0.0374193,67.6207,1.05095
2025-05-12,108.164,39.4,4.68365,3.67377,0.0371234,68.7638,1.05095
2025-05-13,108.461,41.04,4.68639,3.71455,0.0750205,67.4211,1.05095
2025-05-14,107.49,40.5,4.6774,3.7013,0.0712268,66.99,1.05095
2025-05-15,108.58,40.23,4.68749,3.69461,0.0539343,68.35,1.05095
2025-05-16,108.19,39.8,4.68389,3.68387,0.0469699,68.39,1.05095
2025-05-19,106.47,39.42,4.66786,3.67427,0.0542184,67.05,1.05095
2025-05-20,104.95,39.77,4.65348,3.68311,0.0781699,65.18,1.05095
2025-05-21,103.66,39.11,4.64112,3.66638,0.074433,64.55,1.05095
2025-05-22,102.97,39.05,4.63444,3.66484,0.0799166,63.92,1.05095
2025-05-23,103.03,39.49,4.63502,3.67605,0.0905091,63.54,1.05095
2025-05-27,103.52,40.17,4.63976,3.69312,0.102596,63.35,1.05095
2025-05-28,102.11,38.97,4.62605,3.66279,0.0866802,63.14,1.05095
2025-05-29,102.69,38.84,4.63171,3.65945,0.0773861,63.85,1.05095
2025-05-30,102.3,37.45,4.62791,3.62301,0.0449411,64.85,1.05095
2025-06-02,103.05,38.65,4.63521,3.65455,0.0688044,64.4,1.05095
2025-06-03,103.8,38.36,4.64247,3.64702,0.0536517,65.44,1.05095
2025-06-04,102.3,37.3,4.62791,3.61899,0.0409276,65,1.05095
2025-06-05,101.83,37.19,4.6233,3.61604,0.0428138,64.64,1.05095
2025-06-06,104.27,38.65,4.64698,3.65455,0.0564354,65.62,1.05095
2025-06-09,104.97,38.92,4.65367,3.66151,0.0563649,66.05,1.05095
2025-06-10,107.22,38.39,4.67488,3.6478,0.020365,68.83,1.05095
2025-06-11,109.31,39.22,4.69419,3.66919,0.0214662,70.09,1.05095
2025-06-12,109.73,40.04,4.69802,3.68988,0.038128,69.69,1.05095
2025-06-13,112.12,41.66,4.71957,3.72954,0.0551457,70.46,1.05095
