Date,XOM Raw Price,CVX Raw Price,XOM Log Price,CVX Log Price,Residual,Spread,Beta
2025-01-02,105.388,143.354,4.65765,4.96532,0.0056502,37.9665,1.49866
2025-01-03,105.928,144.468,4.66276,4.97306,0.00572898,38.5403,1.49866
2025-01-06,105.81,143.892,4.66165,4.96906,0.00339873,38.0816,1.49866
2025-01-07,106.802,146.169,4.67098,4.98476,0.00511351,39.3664,1.49866
2025-01-08,105.015,146.862,4.6541,4.9895,0.035142,41.8476,1.49866
2025-01-10,104.632,149.637,4.65045,5.00822,0.0593371,45.0056,1.49866
2025-01-13,107.333,151.797,4.67593,5.02254,0.0354728,44.4643,1.49866
2025-01-14,107.755,153.311,4.67986,5.03247,0.0395158,45.5566,1.49866
2025-01-15,109.513,154.709,4.69604,5.04154,0.0243365,45.1959,1.49866
2025-01-16,109.326,155.735,4.69434,5.04815,0.0335021,46.4085,1.49866
2025-01-17,110.308,157.777,4.70328,5.06118,0.0331277,47.4686,1.49866
2025-01-21,109.474,154.621,4.69568,5.04098,0.0243057,45.1473,1.49866
2025-01-22,107.568,152.833,4.67813,5.02934,0.0389855,45.2644,1.49866
2025-01-23,108.177,152.442,4.68377,5.02678,0.0279654,44.2646,1.49866
2025-01-24,106.714,152.09,4.67015,5.02447,0.0460661,45.3762,1.49866
2025-01-27,108.197,153.634,4.68395,5.03457,0.0354831,45.4371,1.49866
2025-01-28,106.105,152.637,4.66443,5.02806,0.0582331,46.5323,1.49866
2025-01-29,106.724,152.129,4.67024,5.02473,0.0461851,45.4054,1.49866
2025-01-30,107.608,152.745,4.67849,5.02877,0.0378627,45.1372,1.49866
2025-01-31,104.917,145.778,4.65317,4.98208,0.0291315,40.8612,1.49866
2025-02-03,105.172,145.924,4.6556,4.98309,0.0264935,40.7524,1.49866
2025-02-04,107.991,149.716,4.68204,5.00874,0.0125075,41.725,1.49866
2025-02-05,107.912,149.491,4.68132,5.00724,0.0120961,41.5789,1.49866
2025-02-06,106.488,148.426,4.66803,5.00009,0.0248542,41.9378,1.49866
2025-02-07,106.94,149.129,4.67227,5.00481,0.0232384,42.1896,1.49866
2025-02-10,108.982,152.207,4.69119,5.02524,0.0153106,43.2248,1.49866
2025-02-11,109.67,153.839,4.69748,5.03591,0.0165507,44.1692,1.49866
2025-02-12,106.37,151.357,4.66693,5.01964,0.046068,44.9869,1.49866
2025-02-13,107.143,152.315,4.67417,5.02595,0.041525,45.1716,1.49866
2025-02-14,107.252,153.471,4.67518,5.03351,0.0475615,46.2185,1.49866
2025-02-18,109.135,154.281,4.69258,5.03877,0.0267477,45.146,1.49866
2025-02-19,109.293,155.338,4.69404,5.0456,0.0314007,46.0445,1.49866
2025-02-20,110.978,156.879,4.70933,5.05548,0.0183517,45.9013,1.49866
2025-02-21,109.68,155.032,4.69757,5.04363,0.0241375,45.3518,1.49866
2025-02-24,110.255,155.99,4.70279,5.04979,0.0224678,45.7355,1.49866
2025-02-25,108.729,154.538,4.68885,5.04044,0.0340005,45.8091,1.49866
2025-02-26,108.461,153.273,4.68639,5.03222,0.029476,44.812,1.49866
2025-02-27,109.145,154.785,4.69268,5.04203,0.0298722,45.6399,1.49866
2025-02-28,110.314,156.711,4.70333,5.0544,0.0262726,46.3972,1.49866
2025-03-03,106.777,151.248,4.67074,5.01892,0.0396318,44.4712,1.49866
2025-03-04,106.559,150.171,4.66869,5.01177,0.0355492,43.6123,1.49866
2025-03-05,104.478,148.995,4.64897,5.00391,0.0572443,44.5174,1.49866
2025-03-06,106.638,151.109,4.66944,5.018,0.0406653,44.4716,1.49866
2025-03-07,108.025,154.459,4.68236,5.03993,0.0432175,46.4336,1.49866
2025-03-10,110.78,155.674,4.70754,5.04776,0.0133175,44.8941,1.49866
2025-03-11,108.164,152.226,4.68365,5.02537,0.026733,44.062,1.49866
2025-03-12,108.134,150.833,4.68337,5.01617,0.0179517,42.6987,1.49866
2025-03-13,107.678,151.761,4.67915,5.02231,0.0304203,44.0832,1.49866
2025-03-14,110.879,155.13,4.70844,5.04427,0.00848108,44.2517,1.49866
2025-03-17,112.722,156.81,4.72492,5.05503,-0.00545656,44.0882,1.49866
2025-03-18,112.603,158.875,4.72387,5.06812,0.00920714,46.2719,1.49866
2025-03-19,114.357,162.076,4.73932,5.08806,0.00599235,47.7191,1.49866
2025-03-20,114.842,162.787,4.74356,5.09244,0.00402222,47.9449,1.49866
2025-03-21,114.446,162.767,4.7401,5.09232,0.00908209,48.3215,1.49866
2025-03-24,114.743,163.034,4.7427,5.09396,0.00683201,48.291,1.49866
2025-03-25,115.526,163.943,4.7495,5.09952,0.00220234,48.4171,1.49866
2025-03-26,117.191,165.949,4.7638,5.11168,-0.00707942,48.758,1.49866
2025-03-27,116.814,164.645,4.76058,5.10379,-0.0101461,47.8304,1.49866
2025-03-28,116.656,164.091,4.75923,5.10042,-0.0114768,47.4357,1.49866
2025-03-31,117.845,165.277,4.76937,5.10762,-0.0194759,47.4322,1.49866
2025-04-01,117.954,166.482,4.77029,5.11489,-0.0135952,48.5286,1.49866
2025-04-02,117.587,164.467,4.76718,5.10271,-0.0211097,46.8797,1.49866
2025-04-03,111.404,154.241,4.71316,5.03852,-0.00434874,42.8373,1.49866
2025-04-04,103.388,141.556,4.63849,4.95269,0.0217411,38.168,1.49866
2025-04-07,102.001,138.463,4.62498,4.93061,0.0198982,36.4629,1.49866
2025-04-08,99.8504,135.282,4.60367,4.90736,0.0285848,35.4319,1.49866
2025-04-09,104.834,144.273,4.65238,4.97171,0.0199274,39.4382,1.49866
2025-04-10,99.018,133.356,4.5953,4.89302,0.0267864,34.3377,1.49866
2025-04-11,102.199,133.998,4.62692,4.89782,-0.0157932,31.7991,1.49866
2025-04-14,102.446,133.692,4.62934,4.89554,-0.0217096,31.2452,1.49866
2025-04-15,102.159,132.921,4.62653,4.88975,-0.023281,30.7619,1.49866
2025-04-16,103.239,133.731,4.63705,4.89583,-0.0329657,30.492,1.49866
2025-04-17,105.944,136.211,4.66291,4.9142,-0.0533547,30.2667,1.49866
2025-04-21,104.389,132.121,4.64812,4.88372,-0.0616738,27.7322,1.49866
2025-04-22,107.312,135.648,4.67574,4.91006,-0.076717,28.3361,1.49866
2025-04-23,106.39,135.035,4.66711,4.90554,-0.068318,28.6451,1.49866
2025-04-24,107.639,137.396,4.67878,4.92287,-0.0684674,29.7578,1.49866
2025-04-25,107.579,137.061,4.67823,4.92042,-0.0700874,29.4814,1.49866
2025-04-28,107.639,138.414,4.67878,4.93025,-0.0610883,30.7755,1.49866
2025-04-29,107.371,137.624,4.67629,4.92452,-0.0630854,30.2526,1.49866
2025-04-30,104.666,134.423,4.65077,4.90099,-0.0483787,29.7567,1.49866
2025-05-01,104.815,134.62,4.65219,4.90246,-0.0490365,29.8056,1.49866
2025-05-02,105.241,136.833,4.65625,4.91876,-0.0388107,31.5926,1.49866
2025-05-05,102.328,133.869,4.62818,4.89686,-0.0186399,31.5419,1.49866
2025-05-06,103.754,133.968,4.64203,4.8976,-0.0386552,30.2138,1.49866
2025-05-07,103.655,134.156,4.64107,4.899,-0.0358232,30.5006,1.49866
2025-05-08,105.102,135.391,4.65493,4.90817,-0.0474315,30.2889,1.49866
2025-05-09,106.331,136.823,4.66655,4.91869,-0.0543244,30.4928,1.49866
2025-05-12,108.164,139.916,4.68365,4.94104,-0.0575917,31.752,1.49866
2025-05-13,108.461,140.637,4.68639,4.94618,-0.0565632,32.1759,1.49866
2025-05-14,107.49,139.965,4.6774,4.94139,-0.0478736,32.4752,1.49866
2025-05-15,108.58,140.548,4.68749,4.94555,-0.0588384,31.9681,1.49866
2025-05-16,108.19,140.39,4.68389,4.94442,-0.054571,32.2,1.49866
2025-05-19,106.47,138.49,4.66786,4.9308,-0.0441801,32.02,1.49866
2025-05-20,104.95,137.27,4.65348,4.92195,-0.0314788,32.32,1.49866
2025-05-21,103.66,135.56,4.64112,4.90941,-0.0254794,31.9,1.49866
2025-05-22,102.97,135.29,4.63444,4.90742,-0.0174641,32.32,1.49866
2025-05-23,103.03,136.54,4.63502,4.91662,-0.00914008,33.51,1.49866
2025-05-27,103.52,137.83,4.63976,4.92602,-0.00684714,34.31,1.49866
2025-05-28,102.11,136.02,4.62605,4.9128,0.000486597,33.91,1.49866
2025-05-29,102.69,137.91,4.63171,4.9266,0.0057974,35.22,1.49866
2025-05-30,102.3,136.7,4.62791,4.91779,0.00268729,34.4,1.49866
2025-06-02,103.05,137.84,4.63521,4.92609,4.49691e-05,34.79,1.49866
2025-06-03,103.8,139.55,4.64247,4.93842,0.0015066,35.75,1.49866
