Date,XOM Raw Price,DVN Raw Price,XOM Log Price,DVN Log Price,Residual,Spread,Beta
2025-01-02,105.388,32.9309,4.65765,3.49441,0.0231848,72.4571,1.72925
2025-01-03,105.928,33.4535,4.66276,3.51016,0.0300879,72.4747,1.72925
2025-01-06,105.81,33.276,4.66165,3.50484,0.0266938,72.5343,1.72925
2025-01-07,106.802,34.2028,4.67098,3.53231,0.0380294,72.5994,1.72925
2025-01-08,105.015,34.6564,4.6541,3.54548,0.0803877,70.3585,1.72925
2025-01-10,104.632,35.4846,4.65045,3.5691,0.110323,69.1472,1.72925
2025-01-13,107.333,36.2536,4.67593,3.59054,0.0876949,71.0789,1.72925
2025-01-14,107.755,36.6578,4.67986,3.60163,0.0919932,71.097,1.72925
2025-01-15,109.513,37.8903,4.69604,3.63469,0.0970767,71.6225,1.72925
2025-01-16,109.326,37.8804,4.69434,3.63443,0.0997656,71.4458,1.72925
2025-01-17,110.308,37.417,4.70328,3.62213,0.0719923,72.8912,1.72925
2025-01-21,109.474,36.2142,4.69568,3.58945,0.0524527,73.2593,1.72925
2025-01-22,107.568,35.948,4.67813,3.58207,0.0754352,71.6203,1.72925
2025-01-23,108.177,35.9381,4.68377,3.5818,0.0654,72.239,1.72925
2025-01-24,106.714,35.455,4.67015,3.56826,0.0754169,71.2589,1.72925
2025-01-27,108.197,34.8338,4.68395,3.55059,0.0338771,73.363,1.72925
2025-01-28,106.105,34.3901,4.66443,3.53777,0.0548186,71.7148,1.72925
2025-01-29,106.724,34.5775,4.67024,3.5432,0.0501966,72.1462,1.72925
2025-01-30,107.608,34.5578,4.67849,3.54263,0.0353636,73.0498,1.72925
2025-01-31,104.917,33.6211,4.65317,3.51515,0.0516783,71.2955,1.72925
2025-02-03,105.172,33.276,4.6556,3.50484,0.037158,71.8959,1.72925
2025-02-04,107.991,33.9366,4.68204,3.52449,0.0110817,74.0539,1.72925
2025-02-05,107.912,33.6605,4.68132,3.51633,0.00417214,74.2514,1.72925
2025-02-06,106.488,32.9506,4.66803,3.49501,0.00582851,73.5373,1.72925
2025-02-07,106.94,32.6844,4.67227,3.4869,-0.00960401,74.2553,1.72925
2025-02-10,108.982,33.7789,4.69119,3.51983,-0.00938858,75.2036,1.72925
2025-02-11,109.67,34.6268,4.69748,3.54463,0.00452974,75.0431,1.72925
2025-02-12,106.37,33.4929,4.66693,3.51133,0.0240632,72.8774,1.72925
2025-02-13,107.143,33.7394,4.67417,3.51867,0.0188764,73.4038,1.72925
2025-02-14,107.252,34.1535,4.67518,3.53087,0.0293169,73.0987,1.72925
2025-02-18,109.135,34.3901,4.69258,3.53777,0.00613024,74.7447,1.72925
2025-02-19,109.293,37.0424,4.69404,3.61206,0.0779123,72.251,1.72925
2025-02-20,110.978,38.0086,4.70933,3.63781,0.0772135,72.9693,1.72925
2025-02-21,109.68,36.9635,4.69757,3.60993,0.069677,72.7163,1.72925
2025-02-24,110.255,36.786,4.70279,3.60512,0.055827,73.4685,1.72925
2025-02-25,108.729,35.3761,4.68885,3.56604,0.0408458,73.3525,1.72925
2025-02-26,108.461,34.962,4.68639,3.55426,0.0333313,73.4991,1.72925
2025-02-27,109.145,35.3761,4.69268,3.56604,0.0342396,73.7687,1.72925
2025-02-28,110.314,35.7113,4.70333,3.57547,0.0252447,74.6027,1.72925
2025-03-03,106.777,33.9267,4.67074,3.5242,0.0303406,72.8498,1.72925
2025-03-04,106.559,33.769,4.66869,3.51954,0.0292139,72.7896,1.72925
2025-03-05,104.478,33.1873,4.64897,3.50217,0.0459398,71.2905,1.72925
2025-03-06,106.638,33.3943,4.66944,3.50839,0.0167711,73.2435,1.72925
2025-03-07,108.025,34.2225,4.68236,3.53288,0.0189191,73.8025,1.72925
2025-03-10,110.78,33.7296,4.70754,3.51837,-0.0391338,77.0501,1.72925
2025-03-11,108.164,33.9267,4.68365,3.5242,0.0080191,74.237,1.72925
2025-03-12,108.134,34.262,4.68337,3.53404,0.0183268,73.8721,1.72925
2025-03-13,107.678,33.3155,4.67915,3.50602,-0.00238325,74.3628,1.72925
2025-03-14,110.879,34.3085,4.70844,3.53539,-0.0236623,76.5703,1.72925
2025-03-17,112.722,34.8645,4.72492,3.55147,-0.0360912,77.8573,1.72925
2025-03-18,112.603,35.1227,4.72387,3.55885,-0.026888,77.4802,1.72925
2025-03-19,114.357,35.798,4.73932,3.57789,-0.0345717,78.5588,1.72925
2025-03-20,114.842,35.8774,4.74356,3.58011,-0.0396813,78.9649,1.72925
2025-03-21,114.446,35.8973,4.7401,3.58066,-0.0331494,78.5487,1.72925
2025-03-24,114.743,36.7016,4.7427,3.60282,-0.0154759,78.0416,1.72925
2025-03-25,115.526,36.7115,4.7495,3.60309,-0.0269624,78.8144,1.72925
2025-03-26,117.191,37.208,4.7638,3.61653,-0.0382684,79.9826,1.72925
2025-03-27,116.814,36.6222,4.76058,3.60065,-0.0485746,80.1919,1.72925
2025-03-28,116.656,36.503,4.75923,3.59739,-0.0494854,80.1526,1.72925
2025-03-31,117.845,37.1385,4.76937,3.61466,-0.0497615,80.7061,1.72925
2025-04-01,117.954,37.3074,4.77029,3.61919,-0.0468251,80.6463,1.72925
2025-04-02,117.587,37.6549,4.76718,3.62846,-0.0321691,79.9321,1.72925
2025-04-03,111.404,32.9282,4.71316,3.49433,-0.0728966,78.4758,1.72925
2025-04-04,103.388,29.1051,4.63849,3.37091,-0.0671784,74.2827,1.72925
2025-04-07,102.001,28.41,4.62498,3.34674,-0.0679912,73.5906,1.72925
2025-04-08,99.8504,26.6126,4.60367,3.28139,-0.0965029,73.2377,1.72925
2025-04-09,104.834,30.8528,4.65238,3.42923,-0.0328937,73.9817,1.72925
2025-04-10,99.018,27.556,4.5953,3.31622,-0.0471938,71.462,1.72925
2025-04-11,102.199,28.0326,4.62692,3.33337,-0.0847188,74.1661,1.72925
2025-04-14,102.446,28.5291,4.62934,3.35093,-0.0713486,73.9173,1.72925
2025-04-15,102.159,28.3305,4.62653,3.34394,-0.073477,73.8285,1.72925
2025-04-16,103.239,29.0952,4.63705,3.37057,-0.0650319,74.144,1.72925
2025-04-17,105.944,30.0981,4.66291,3.40446,-0.0758683,75.8461,1.72925
2025-04-21,104.389,29.2739,4.64812,3.3767,-0.0780535,75.1147,1.72925
2025-04-22,107.312,30.9819,4.67574,3.4334,-0.0691044,76.3298,1.72925
2025-04-23,106.39,30.8627,4.66711,3.42955,-0.0580443,75.5274,1.72925
2025-04-24,107.639,31.25,4.67878,3.44202,-0.0657489,76.3886,1.72925
2025-04-25,107.579,31.1308,4.67823,3.4382,-0.068614,76.4483,1.72925
2025-04-28,107.639,31.3294,4.67878,3.44456,-0.06321,76.3092,1.72925
2025-04-29,107.371,31.0812,4.67629,3.4366,-0.0668621,76.2899,1.72925
2025-04-30,104.666,30.1974,4.65077,3.40776,-0.0515841,74.4686,1.72925
2025-05-01,104.815,30.9422,4.65219,3.43212,-0.0296742,73.8725,1.72925
2025-05-02,105.241,31.2202,4.65625,3.44107,-0.0277437,74.0205,1.72925
2025-05-05,102.328,30.4059,4.62818,3.41464,-0.00562882,71.9216,1.72925
2025-05-06,103.754,30.3761,4.64203,3.41366,-0.0305552,73.3783,1.72925
2025-05-07,103.655,30.0782,4.64107,3.4038,-0.0387585,73.5771,1.72925
2025-05-08,105.102,31.7068,4.65493,3.45653,-0.00999771,73.3952,1.72925
2025-05-09,106.331,32.3026,4.66655,3.47515,-0.0114795,74.0281,1.72925
2025-05-12,108.164,33.3155,4.68365,3.50602,-0.0101633,74.8483,1.72925
2025-05-13,108.461,34.0503,4.68639,3.52784,0.00690789,74.4108,1.72925
2025-05-14,107.49,33.7226,4.6774,3.51817,0.0127892,73.7674,1.72925
2025-05-15,108.58,33.1665,4.68749,3.50154,-0.0212854,75.4135,1.72925
2025-05-16,108.19,33.0275,4.68389,3.49734,-0.0192637,75.1625,1.72925
2025-05-19,106.47,32.4615,4.66786,3.48005,-0.00883737,74.0085,1.72925
2025-05-20,104.95,31.9451,4.65348,3.46402,-6.90088e-06,73.0049,1.72925
2025-05-21,103.66,31.2798,4.64112,3.44297,0.000333205,72.3802,1.72925
2025-05-22,102.97,30.9223,4.63444,3.43148,0.000387855,72.0477,1.72925
2025-05-23,103.03,30.9422,4.63502,3.43212,2.26522e-05,72.0878,1.72925
2025-05-27,103.52,31.1308,4.63976,3.4382,-0.00210294,72.3892,1.72925
2025-05-28,102.11,30.6443,4.62605,3.42245,0.00585885,71.4657,1.72925
2025-05-29,102.69,30.8925,4.63171,3.43051,0.00413268,71.7975,1.72925
2025-05-30,102.3,30.0485,4.62791,3.40281,-0.01699,72.2515,1.72925
2025-06-02,103.05,30.9223,4.63521,3.43148,-0.000955155,72.1277,1.72925
2025-06-03,103.8,31.7862,4.64247,3.45903,0.01406,72.0138,1.72925
2025-06-04,102.3,31.3394,4.62791,3.44487,0.0250738,70.9606,1.72925
2025-06-05,101.83,31.2003,4.6233,3.44043,0.028591,70.6297,1.72925
2025-06-06,104.27,32.0643,4.64698,3.46774,0.0149572,72.2057,1.72925
2025-06-09,104.97,32.4217,4.65367,3.47883,0.0144741,72.5483,1.72925
2025-06-10,107.22,33.236,4.67488,3.50363,0.00260449,73.984,1.72925
2025-06-11,109.31,34.229,4.69419,3.53307,-0.001339,75.081,1.72925
2025-06-12,109.73,34.09,4.69802,3.529,-0.0120405,75.64,1.72925
2025-06-13,112.12,35.11,4.71957,3.55849,-0.0198186,77.01,1.72925
