Date,XOM Raw Price,EOG Raw Price,XOM Log Price,EOG Log Price,Residual,Spread,Beta
2025-01-02,105.388,122.706,4.65765,4.80979,0.0452374,17.3179,1.29051
2025-01-03,105.928,124.536,4.66276,4.82459,0.0534444,18.6078,1.29051
2025-01-06,105.81,124.359,4.66165,4.82317,0.0534579,18.5486,1.29051
2025-01-07,106.802,125.51,4.67098,4.83239,0.0506308,18.7079,1.29051
2025-01-08,105.015,126.396,4.6541,4.83942,0.0794419,21.3808,1.29051
2025-01-10,104.632,129.298,4.65045,4.86212,0.106862,24.6664,1.29051
2025-01-13,107.333,132.329,4.67593,4.88529,0.0971417,24.9962,1.29051
2025-01-14,107.755,133.588,4.67986,4.89476,0.101547,25.8333,1.29051
2025-01-15,109.513,134.857,4.69604,4.90422,0.0901192,25.3446,1.29051
2025-01-16,109.326,135.832,4.69434,4.91142,0.0995173,26.5053,1.29051
2025-01-17,110.308,135.341,4.70328,4.9078,0.0843586,25.0327,1.29051
2025-01-21,109.474,134.806,4.69568,4.90384,0.0902002,25.3324,1.29051
2025-01-22,107.568,132.804,4.67813,4.88888,0.0978979,25.236,1.29051
2025-01-23,108.177,132.765,4.68377,4.88858,0.0903149,24.5875,1.29051
2025-01-24,106.714,130.624,4.67015,4.87232,0.0916377,23.9104,1.29051
2025-01-27,108.197,130.763,4.68395,4.87339,0.074889,22.5662,1.29051
2025-01-28,106.105,129.068,4.66443,4.86034,0.0870404,22.9635,1.29051
2025-01-29,106.724,129.049,4.67024,4.86019,0.0793835,22.325,1.29051
2025-01-30,107.608,128.603,4.67849,4.85673,0.0652782,20.9952,1.29051
2025-01-31,104.917,124.649,4.65317,4.8255,0.0667333,19.7323,1.29051
2025-02-03,105.172,125.253,4.6556,4.83034,0.0684339,20.0814,1.29051
2025-02-04,107.991,126.958,4.68204,4.84385,0.0478196,18.9672,1.29051
2025-02-05,107.912,126.542,4.68132,4.84057,0.0454753,18.6296,1.29051
2025-02-06,106.488,125.531,4.66803,4.83255,0.054599,19.0429,1.29051
2025-02-07,106.94,125.352,4.67227,4.83113,0.0477138,18.4128,1.29051
2025-02-10,108.982,129.376,4.69119,4.86272,0.0548858,20.3932,1.29051
2025-02-11,109.67,131.09,4.69748,4.87588,0.0599344,21.42,1.29051
2025-02-12,106.37,127.671,4.66693,4.84946,0.0729325,21.3009,1.29051
2025-02-13,107.143,127.85,4.67417,4.85085,0.0649858,20.7064,1.29051
2025-02-14,107.252,128.137,4.67518,4.8531,0.0659187,20.8848,1.29051
2025-02-18,109.135,129.752,4.69258,4.86563,0.0559889,20.6173,1.29051
2025-02-19,109.293,133.31,4.69404,4.89267,0.0811635,24.0162,1.29051
2025-02-20,110.978,134.439,4.70933,4.90111,0.0698635,23.4614,1.29051
2025-02-21,109.68,131.873,4.69757,4.88184,0.0657718,22.1929,1.29051
2025-02-24,110.255,132.418,4.70279,4.88596,0.0631518,22.1633,1.29051
2025-02-25,108.729,130.129,4.68885,4.86852,0.0636997,21.4001,1.29051
2025-02-26,108.461,128.662,4.68639,4.85719,0.0555448,20.2011,1.29051
2025-02-27,109.145,129.425,4.69268,4.8631,0.0533482,20.2804,1.29051
2025-02-28,110.314,125.788,4.70333,4.8346,0.0110958,15.4745,1.29051
2025-03-03,106.777,119.447,4.67074,4.78287,0.00142336,12.67,1.29051
2025-03-04,106.559,121.002,4.66869,4.79581,0.0170014,14.4437,1.29051
2025-03-05,104.478,120.745,4.64897,4.79368,0.0403196,16.2669,1.29051
2025-03-06,106.638,121.082,4.66944,4.79646,0.0166967,14.4437,1.29051
2025-03-07,108.025,124.124,4.68236,4.82128,0.0248315,16.0986,1.29051
2025-03-10,110.78,124.748,4.70754,4.8263,-0.00264689,13.9683,1.29051
2025-03-11,108.164,123.361,4.68365,4.81511,0.017009,15.1969,1.29051
2025-03-12,108.134,123.143,4.68337,4.81334,0.015595,15.0086,1.29051
2025-03-13,107.678,119.992,4.67915,4.78742,-0.00487635,12.3133,1.29051
2025-03-14,110.879,122.796,4.70844,4.81052,-0.019573,11.9171,1.29051
2025-03-17,112.722,122.459,4.72492,4.80778,-0.043595,9.73713,1.29051
2025-03-18,112.603,121.458,4.72387,4.79957,-0.0504393,8.8552,1.29051
2025-03-19,114.357,123.807,4.73932,4.81872,-0.0512334,9.44985,1.29051
