Date,XOM Raw Price,ET Raw Price,XOM Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,105.388,19.0293,4.65765,2.94598,0.0650146,86.3587,0.823557
2025-01-03,105.928,18.9617,4.66276,2.94242,0.0572466,86.9665,0.823557
2025-01-06,105.81,18.9424,4.66165,2.9414,0.0571445,86.8679,0.823557
2025-01-07,106.802,18.8169,4.67098,2.93475,0.0428121,87.9853,0.823557
2025-01-08,105.015,19.0486,4.6541,2.94699,0.0689503,85.9662,0.823557
2025-01-10,104.632,18.7493,4.65045,2.93116,0.0561227,85.8825,0.823557
2025-01-13,107.333,18.7976,4.67593,2.93373,0.0377062,88.535,0.823557
2025-01-14,107.755,19.2417,4.67986,2.95708,0.0578235,88.5132,0.823557
2025-01-15,109.513,19.3479,4.69604,2.96258,0.0500005,90.1649,0.823557
2025-01-16,109.326,19.5506,4.69434,2.97301,0.0618294,89.7756,0.823557
2025-01-17,110.308,19.5893,4.70328,2.97498,0.0564377,90.719,0.823557
2025-01-21,109.474,20.1878,4.69568,3.00508,0.0927931,89.2857,0.823557
2025-01-22,107.568,20.1975,4.67813,3.00556,0.107731,87.3708,0.823557
2025-01-23,108.177,20.3327,4.68377,3.01223,0.109752,87.8445,0.823557
2025-01-24,106.714,20.323,4.67015,3.01175,0.120493,86.3908,0.823557
2025-01-27,108.197,19.1258,4.68395,2.95104,0.0484135,89.071,0.823557
2025-01-28,106.105,19.6472,4.66443,2.97793,0.0913861,86.4578,0.823557
2025-01-29,106.724,19.821,4.67024,2.98674,0.0954039,86.9027,0.823557
2025-01-30,107.608,20.352,4.67849,3.01318,0.115049,87.2556,0.823557
2025-01-31,104.917,19.7727,4.65317,2.9843,0.107029,85.1439,0.823557
2025-02-03,105.172,20.043,4.6556,2.99788,0.118607,85.1289,0.823557
2025-02-04,107.991,20.0527,4.68204,2.99836,0.0973076,87.9379,0.823557
2025-02-05,107.912,20.072,4.68132,2.99932,0.0988695,87.84,0.823557
2025-02-06,106.488,19.6665,4.66803,2.97892,0.0894009,86.8215,0.823557
2025-02-07,106.94,19.5537,4.67227,2.97316,0.0801607,87.3861,0.823557
2025-02-10,108.982,19.7106,4.69119,2.98116,0.0725737,89.2718,0.823557
2025-02-11,109.67,19.4359,4.69748,2.96712,0.0533596,90.234,0.823557
2025-02-12,106.37,19.2789,4.66693,2.95901,0.0704087,87.0914,0.823557
2025-02-13,107.143,19.4457,4.67417,2.96763,0.0730606,87.6975,0.823557
2025-02-14,107.252,19.6125,4.67518,2.97617,0.0807638,87.6397,0.823557
2025-02-18,109.135,19.9167,4.69258,2.99156,0.0818215,89.2182,0.823557
2025-02-19,109.293,19.7401,4.69404,2.98265,0.0717196,89.5533,0.823557
2025-02-20,110.978,19.5635,4.70933,2.97366,0.0501367,91.4144,0.823557
2025-02-21,109.68,19.0239,4.69757,2.94569,0.0318558,90.656,0.823557
2025-02-24,110.255,18.6118,4.70279,2.9238,0.00565309,91.6427,0.823557
2025-02-25,108.729,18.5627,4.68885,2.92116,0.0144917,90.1659,0.823557
2025-02-26,108.461,18.7982,4.68639,2.93376,0.0291258,89.6629,0.823557
2025-02-27,109.145,18.5824,4.69268,2.92221,0.012402,90.5624,0.823557
2025-02-28,110.314,18.9257,4.70333,2.94052,0.0219372,91.3882,0.823557
2025-03-03,106.777,18.6707,4.67074,2.92695,0.0352086,88.1059,0.823557
2025-03-04,106.559,18.1212,4.66869,2.89708,0.0070228,88.4373,0.823557
2025-03-05,104.478,17.8563,4.64897,2.88236,0.00853786,86.6214,0.823557
2025-03-06,106.638,17.3658,4.66944,2.8545,-0.0361727,89.2721,0.823557
2025-03-07,108.025,17.1303,4.68236,2.84085,-0.0604692,90.8948,0.823557
2025-03-10,110.78,16.9341,4.70754,2.82933,-0.0927274,93.8456,0.823557
2025-03-11,108.164,17.4933,4.68365,2.86182,-0.0405562,90.6705,0.823557
2025-03-12,108.134,18.0526,4.68337,2.89329,-0.00886159,90.0815,0.823557
2025-03-13,107.678,17.8269,4.67915,2.88071,-0.0179616,89.8514,0.823557
2025-03-14,110.879,18.3763,4.70844,2.91106,-0.0117289,92.5025,0.823557
2025-03-17,112.722,18.5431,4.72492,2.9201,-0.0162702,94.1787,0.823557
2025-03-18,112.603,18.3273,4.72387,2.90839,-0.0271094,94.2756,0.823557
2025-03-19,114.357,18.5824,4.73932,2.92221,-0.0260152,95.7744,0.823557
2025-03-20,114.842,18.4941,4.74356,2.91745,-0.0342676,96.3482,0.823557
2025-03-21,114.446,18.2488,4.7401,2.9041,-0.0447716,96.1972,0.823557
2025-03-24,114.743,18.5235,4.7427,2.91904,-0.0319665,96.2197,0.823557
2025-03-25,115.526,18.5235,4.7495,2.91904,-0.0375658,97.0025,0.823557
2025-03-26,117.191,18.5725,4.7638,2.92168,-0.0467033,98.6181,0.823557
2025-03-27,116.814,18.5235,4.76058,2.91904,-0.0466978,98.2906,0.823557
2025-03-28,116.656,18.3567,4.75923,2.90999,-0.0546243,98.2989,0.823557
2025-03-31,117.845,18.239,4.76937,2.90356,-0.0694104,99.6057,0.823557
2025-04-01,117.954,18.3763,4.77029,2.91106,-0.0626692,99.5773,0.823557
2025-04-02,117.587,18.5725,4.76718,2.92168,-0.0494839,99.0145,0.823557
2025-04-03,111.404,17.3952,4.71316,2.85619,-0.0704888,94.0088,0.823557
2025-04-04,103.388,15.8548,4.63849,2.76348,-0.101708,87.5329,0.823557
2025-04-07,102.001,15.5703,4.62498,2.74537,-0.108691,86.4302,0.823557
2025-04-08,99.8504,15.3545,4.60367,2.73141,-0.105105,84.4959,0.823557
2025-04-09,104.834,16.3552,4.65238,2.79455,-0.0820801,88.4792,0.823557
2025-04-10,99.018,15.6096,4.5953,2.74788,-0.0817339,83.4085,0.823557
2025-04-11,102.199,16.0216,4.62692,2.77394,-0.0817165,86.1771,0.823557
2025-04-14,102.446,16.5024,4.62934,2.8035,-0.0541456,85.9441,0.823557
2025-04-15,102.159,16.7869,4.62653,2.8206,-0.0347378,85.3722,0.823557
2025-04-16,103.239,16.6005,4.63705,2.80943,-0.0545658,86.6387,0.823557
2025-04-17,105.944,16.9439,4.66291,2.82991,-0.0553922,89.0003,0.823557
2025-04-21,104.389,16.2473,4.64812,2.78793,-0.0851904,88.1413,0.823557
2025-04-22,107.312,16.6594,4.67574,2.81297,-0.0828886,90.6523,0.823557
2025-04-23,106.39,16.7771,4.66711,2.82001,-0.0687436,89.613,0.823557
2025-04-24,107.639,17.2578,4.67878,2.84827,-0.0500997,90.3808,0.823557
2025-04-25,107.579,17.1205,4.67823,2.84028,-0.0576356,90.4587,0.823557
2025-04-28,107.639,16.9537,4.67878,2.83049,-0.0678805,90.6849,0.823557
2025-04-29,107.371,16.7182,4.67629,2.8165,-0.0798173,90.6529,0.823557
2025-04-30,104.666,16.2277,4.65077,2.78672,-0.0885847,88.4383,0.823557
2025-05-01,104.815,16.2179,4.65219,2.78611,-0.0903582,88.5968,0.823557
2025-05-02,105.241,16.3552,4.65625,2.79455,-0.0852654,88.8855,0.823557
2025-05-05,102.328,15.8843,4.62818,2.76533,-0.091364,86.4433,0.823557
2025-05-06,103.754,15.5115,4.64203,2.74158,-0.126519,88.2429,0.823557
2025-05-07,103.655,16.5711,4.64107,2.80766,-0.0596536,87.0843,0.823557
2025-05-08,105.102,17.042,4.65493,2.83568,-0.0430452,88.06,0.823557
2025-05-09,106.331,17.21,4.66655,2.84549,-0.0428075,89.1207,0.823557
2025-05-12,108.164,17.44,4.68365,2.85877,-0.0436086,90.7238,0.823557
2025-05-13,108.461,18,4.68639,2.89037,-0.0142635,90.4611,0.823557
2025-05-14,107.49,18.16,4.6774,2.89922,0.00199267,89.33,0.823557
2025-05-15,108.58,17.97,4.68749,2.8887,-0.0168343,90.61,0.823557
2025-05-16,108.19,17.95,4.68389,2.88759,-0.0149844,90.24,0.823557
2025-05-19,106.47,18,4.66786,2.89037,0.000995295,88.47,0.823557
2025-05-20,104.95,18.14,4.65348,2.89812,0.0205851,86.81,0.823557
2025-05-21,103.66,17.76,4.64112,2.87695,0.00959989,85.9,0.823557
2025-05-22,102.97,17.88,4.63444,2.88368,0.0218341,85.09,0.823557
2025-05-23,103.03,17.85,4.63502,2.882,0.0196752,85.18,0.823557
2025-05-27,103.52,17.95,4.63976,2.88759,0.0213544,85.57,0.823557
2025-05-28,102.11,17.76,4.62605,2.87695,0.0220073,84.35,0.823557
2025-05-29,102.69,17.68,4.63171,2.87243,0.012828,85.01,0.823557
2025-05-30,102.3,17.48,4.62791,2.86106,0.00458491,84.82,0.823557
2025-06-02,103.05,17.48,4.63521,2.86106,-0.00143087,85.57,0.823557
2025-06-03,103.8,17.9,4.64247,2.8848,0.0163403,85.9,0.823557
2025-06-04,102.3,17.53,4.62791,2.86391,0.0074413,84.77,0.823557
2025-06-05,101.83,17.67,4.6233,2.87187,0.0191883,84.16,0.823557
2025-06-06,104.27,17.93,4.64698,2.88648,0.0142944,86.34,0.823557
2025-06-09,104.97,17.71,4.65367,2.87413,-0.0035619,87.26,0.823557
2025-06-10,107.22,17.99,4.67488,2.88982,-0.00534142,89.23,0.823557
2025-06-11,109.31,18.25,4.69419,2.90417,-0.00689118,91.06,0.823557
