Date,XOM Raw Price,KMI Raw Price,XOM Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,105.388,27.5159,4.65765,3.31476,0.0165498,77.8721,0.293303
2025-01-03,105.928,27.6725,4.66276,3.32044,0.0207262,78.2557,0.293303
2025-01-06,105.81,27.2418,4.66165,3.30475,0.0053661,78.5685,0.293303
2025-01-07,106.802,27.2222,4.67098,3.30403,0.00191037,79.58,0.293303
2025-01-08,105.015,27.6921,4.6541,3.32115,0.0239733,77.3227,0.293303
2025-01-10,104.632,27.5648,4.65045,3.31654,0.0204391,77.067,0.293303
2025-01-13,107.333,27.9172,4.67593,3.32924,0.0256676,79.4153,0.293303
2025-01-14,107.755,28.5045,4.67986,3.35006,0.0453355,79.2503,0.293303
2025-01-15,109.513,28.8178,4.69604,3.36099,0.0515181,80.695,0.293303
2025-01-16,109.326,29.4247,4.69434,3.38183,0.0728593,79.9015,0.293303
2025-01-17,110.308,29.6694,4.70328,3.39012,0.0785187,80.6389,0.293303
2025-01-21,109.474,30.5601,4.69568,3.4197,0.110328,78.9134,0.293303
2025-01-22,107.568,30.1294,4.67813,3.4055,0.101284,77.4388,0.293303
2025-01-23,108.177,29.8358,4.68377,3.39571,0.0898337,78.3414,0.293303
2025-01-24,106.714,29.6302,4.67015,3.38879,0.0869148,77.0836,0.293303
2025-01-27,108.197,26.8796,4.68395,3.29137,-0.0145599,81.3172,0.293303
2025-01-28,106.105,26.8796,4.66443,3.29137,-0.00883368,79.2253,0.293303
2025-01-29,106.724,26.723,4.67024,3.28552,-0.0163828,80.0007,0.293303
2025-01-30,107.608,27.5061,4.67849,3.31441,0.0100811,80.1014,0.293303
2025-01-31,104.917,26.8992,4.65317,3.2921,-0.00480224,78.0174,0.293303
2025-02-03,105.172,27.283,4.6556,3.30626,0.00865291,77.8889,0.293303
2025-02-04,107.991,27.2039,4.68204,3.30336,-0.00200899,80.7867,0.293303
2025-02-05,107.912,27.3424,4.68132,3.30844,0.00328248,80.5696,0.293303
2025-02-06,106.488,26.4916,4.66803,3.27683,-0.0244299,79.9963,0.293303
2025-02-07,106.94,26.7488,4.67227,3.28649,-0.0160097,80.1909,0.293303
2025-02-10,108.982,26.7785,4.69119,3.2876,-0.0204506,82.204,0.293303
2025-02-11,109.67,26.5015,4.69748,3.2772,-0.0326923,83.1684,0.293303
2025-02-12,106.37,25.997,4.66693,3.25798,-0.0429528,80.3733,0.293303
2025-02-13,107.143,26.274,4.67417,3.26858,-0.0344782,80.8692,0.293303
2025-02-14,107.252,26.2641,4.67518,3.2682,-0.035153,80.9881,0.293303
2025-02-18,109.135,26.462,4.69258,3.27571,-0.0327521,82.6729,0.293303
2025-02-19,109.293,26.6004,4.69404,3.28093,-0.0279579,82.6929,0.293303
2025-02-20,110.978,26.3037,4.70933,3.26971,-0.0436631,84.6742,0.293303
2025-02-21,109.68,26.1256,4.69757,3.26292,-0.0470048,83.5542,0.293303
