Date,XOM Raw Price,SHEL Raw Price,XOM Log Price,SHEL Log Price,Residual,Spread,Beta
2025-01-02,105.388,61.7661,4.65765,4.12335,-0.0503748,43.6219,0.865944
2025-01-03,105.928,63.1561,4.66276,4.14561,-0.0325473,42.7721,0.865944
2025-01-06,105.81,63.3812,4.66165,4.14917,-0.0280248,42.4291,0.865944
2025-01-07,106.802,64.5363,4.67098,4.16723,-0.0180449,42.266,0.865944
2025-01-08,105.015,63.3518,4.6541,4.1487,-0.0219533,41.663,0.865944
2025-01-10,104.632,63.5672,4.65045,4.1521,-0.0153959,41.0646,0.865944
2025-01-13,107.333,63.5868,4.67593,4.15241,-0.037156,43.7458,0.865944
2025-01-14,107.755,64.5167,4.67986,4.16692,-0.0260378,43.2382,0.865944
2025-01-15,109.513,64.9572,4.69604,4.17373,-0.0332468,44.5556,0.865944
2025-01-16,109.326,65.0453,4.69434,4.17508,-0.0304147,44.2809,0.865944
2025-01-17,110.308,65.3096,4.70328,4.17914,-0.0341039,44.9987,0.865944
2025-01-21,109.474,65.3585,4.69568,4.17989,-0.0267767,44.115,0.865944
2025-01-22,107.568,64.5558,4.67813,4.16753,-0.0239303,43.0124,0.865944
2025-01-23,108.177,65.2508,4.68377,4.17824,-0.01811,42.9263,0.865944
2025-01-24,106.714,64.0077,4.67015,4.159,-0.0255521,42.7061,0.865944
2025-01-27,108.197,63.763,4.68395,4.15517,-0.0413335,44.4338,0.865944
2025-01-28,106.105,63.2148,4.66443,4.14654,-0.0330615,42.8901,0.865944
2025-01-29,106.724,63.4106,4.67024,4.14963,-0.0350044,43.3131,0.865944
2025-01-30,107.608,65.241,4.67849,4.17809,-0.0136883,42.3665,0.865944
2025-01-31,104.917,64.458,4.65317,4.16601,-0.00383405,40.4587,0.865944
2025-02-03,105.172,63.7923,4.6556,4.15563,-0.0163192,41.3796,0.865944
2025-02-04,107.991,65.2215,4.68204,4.17779,-0.0170651,42.7691,0.865944
2025-02-05,107.912,65.1236,4.68132,4.17629,-0.017937,42.7884,0.865944
2025-02-06,106.488,64.7614,4.66803,4.17071,-0.0120105,41.7265,0.865944
2025-02-07,106.94,64.4971,4.67227,4.16662,-0.0197659,42.4426,0.865944
2025-02-10,108.982,64.732,4.69119,4.17026,-0.0325152,44.2504,0.865944
2025-02-11,109.67,65.9556,4.69748,4.18898,-0.0192346,43.7143,0.865944
2025-02-12,106.37,65.3487,4.66693,4.17974,-0.00202532,41.0216,0.865944
2025-02-13,107.143,65.9458,4.67417,4.18883,0.000801275,41.1974,0.865944
2025-02-14,107.252,66.4168,4.67518,4.19595,0.00703669,40.8354,0.865944
2025-02-18,109.135,67.0994,4.69258,4.20618,0.00219427,42.0354,0.865944
2025-02-19,109.293,66.8818,4.69404,4.20293,-0.00231198,42.4116,0.865944
2025-02-20,110.978,67.6535,4.70933,4.2144,-0.00408414,43.3244,0.865944
2025-02-21,109.68,65.9913,4.69757,4.18952,-0.0187715,43.6885,0.865944
2025-02-24,110.255,66.1793,4.70279,4.19237,-0.0204524,44.0752,0.865944
2025-02-25,108.729,66.1892,4.68885,4.19252,-0.00823438,42.5394,0.865944
2025-02-26,108.461,66.6839,4.68639,4.19996,0.00134509,41.7772,0.865944
2025-02-27,109.145,66.5553,4.69268,4.19803,-0.00602717,42.5895,0.865944
2025-02-28,110.314,66.7433,4.70333,4.20085,-0.0124339,43.5707,0.865944
2025-03-03,106.777,65.7539,4.67074,4.18592,0.000854565,41.0227,0.865944
2025-03-04,106.559,65.4966,4.66869,4.182,-0.00129556,41.0619,0.865944
2025-03-05,104.478,65.3977,4.64897,4.18049,0.0142698,39.08,0.865944
2025-03-06,106.638,65.3087,4.66944,4.17912,-0.00481371,41.3292,0.865944
2025-03-07,108.025,66.0804,4.68236,4.19087,-0.0042587,41.9447,0.865944
2025-03-10,110.78,66.0804,4.70754,4.19087,-0.0260634,44.6993,0.865944
2025-03-11,108.164,66.1002,4.68365,4.19117,-0.00507076,42.0636,0.865944
2025-03-12,108.134,66.6641,4.68337,4.19967,0.00366286,41.47,0.865944
2025-03-13,107.678,67.0203,4.67915,4.205,0.0126492,40.658,0.865944
2025-03-14,110.879,68.0393,4.70844,4.22009,0.00237661,42.8394,0.865944
2025-03-17,112.722,69.3552,4.72492,4.23924,0.0072564,43.3666,0.865944
2025-03-18,112.603,70.216,4.72387,4.25158,0.0205048,42.3869,0.865944
2025-03-19,114.357,70.7601,4.73932,4.2593,0.014841,43.5966,0.865944
2025-03-20,114.842,71.1855,4.74356,4.26529,0.0171665,43.6567,0.865944
2025-03-21,114.446,70.2555,4.7401,4.25214,0.00700969,44.1904,0.865944
2025-03-24,114.743,70.5227,4.7427,4.25593,0.00855841,44.2205,0.865944
2025-03-25,115.526,71.2647,4.7495,4.2664,0.0131379,44.2613,0.865944
2025-03-26,117.191,72.2541,4.7638,4.28019,0.0145367,44.9366,0.865944
2025-03-27,116.814,72.5113,4.76058,4.28374,0.0208774,44.3028,0.865944
2025-03-28,116.656,71.9573,4.75923,4.27607,0.0143832,44.6983,0.865944
2025-03-31,117.845,72.5014,4.76937,4.28361,0.0131352,45.3432,0.865944
2025-04-01,117.954,72.2739,4.77029,4.28046,0.00919106,45.6798,0.865944
2025-04-02,117.587,71.9474,4.76718,4.27593,0.00735917,45.6396,0.865944
2025-04-03,111.404,69.0287,4.71316,4.23452,0.0127213,42.3752,0.865944
2025-04-04,103.388,63.4486,4.63849,4.15023,-0.00690524,39.9391,0.865944
2025-04-07,102.001,61.6579,4.62498,4.1216,-0.0238375,40.3427,0.865944
2025-04-08,99.8504,59.1152,4.60367,4.07949,-0.0475012,40.7352,0.865944
2025-04-09,104.834,63.2112,4.65238,4.14648,-0.0226876,41.6233,0.865944
2025-04-10,99.018,59.1449,4.5953,4.07999,-0.0397507,39.8732,0.865944
2025-04-11,102.199,61.4303,4.62692,4.1179,-0.0292157,40.7684,0.865944
2025-04-14,102.446,61.8755,4.62934,4.12512,-0.0240907,40.5709,0.865944
2025-04-15,102.159,62.113,4.62653,4.12895,-0.0178282,40.0461,0.865944
2025-04-16,103.239,63.3497,4.63705,4.14867,-0.00722004,39.8895,0.865944
2025-04-17,105.944,64.349,4.66291,4.16432,-0.0139666,41.5953,0.865944
2025-04-21,104.389,63.9631,4.64812,4.15831,-0.00717122,40.4254,0.865944
2025-04-22,107.312,64.4776,4.67574,4.16632,-0.0230751,42.8341,0.865944
2025-04-23,106.39,63.8246,4.66711,4.15614,-0.0257857,42.5655,0.865944
2025-04-24,107.639,64.3589,4.67878,4.16447,-0.0275526,43.2798,0.865944
2025-04-25,107.579,65.1603,4.67823,4.17685,-0.0146991,42.4189,0.865944
2025-04-28,107.639,65.3186,4.67878,4.17928,-0.0127512,42.3201,0.865944
2025-04-29,107.371,64.814,4.67629,4.17152,-0.018351,42.5571,0.865944
2025-04-30,104.666,63.7949,4.65077,4.15567,-0.0121027,40.8711,0.865944
2025-05-01,104.815,64.1115,4.65219,4.16062,-0.00838107,40.7031,0.865944
2025-05-02,105.241,65.932,4.65625,4.18862,0.0161053,39.3087,0.865944
2025-05-05,102.328,64.4281,4.62818,4.16555,0.0173404,37.8994,0.865944
2025-05-06,103.754,64.4083,4.64203,4.16524,0.0050418,39.3461,0.865944
2025-05-07,103.655,64.3589,4.64107,4.16447,0.00510081,39.2965,0.865944
2025-05-08,105.102,64.3885,4.65493,4.16494,-0.00644019,40.7134,0.865944
2025-05-09,106.331,65.4472,4.66655,4.18124,-0.00019709,40.8835,0.865944
2025-05-12,108.164,65.6747,4.68365,4.18471,-0.0115277,42.4891,0.865944
2025-05-13,108.461,66.8917,4.68639,4.20307,0.0044559,41.5694,0.865944
2025-05-14,107.49,66.3772,4.6774,4.19535,0.00452265,41.1128,0.865944
2025-05-15,108.58,66.674,4.68749,4.19982,0.000247525,41.906,0.865944
2025-05-16,108.19,66.62,4.68389,4.199,0.00255318,41.57,0.865944
2025-05-19,106.47,66.67,4.66786,4.19976,0.0171807,39.8,0.865944
2025-05-20,104.95,66.62,4.65348,4.199,0.0288822,38.33,0.865944
