Date,XOM Raw Price,SM Raw Price,XOM Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,105.388,39.607,4.65765,3.67901,0.349498,65.781,2.4679
2025-01-03,105.928,40.0213,4.66276,3.68941,0.347285,65.9069,2.4679
2025-01-06,105.81,40.2974,4.66165,3.69629,0.356909,65.5129,2.4679
2025-01-07,106.802,42.0923,4.67098,3.73987,0.37746,64.7099,2.4679
2025-01-08,105.015,42.0628,4.6541,3.73916,0.418409,62.9521,2.4679
2025-01-10,104.632,42.7531,4.65045,3.75544,0.443705,61.8787,2.4679
2025-01-13,107.333,43.118,4.67593,3.76394,0.389312,64.2145,2.4679
2025-01-14,107.755,43.3153,4.67986,3.76851,0.384185,64.4396,2.4679
2025-01-15,109.513,44.0747,4.69604,3.78588,0.361628,65.4381,2.4679
2025-01-16,109.326,43.5125,4.69434,3.77305,0.353,65.8137,2.4679
2025-01-17,110.308,42.615,4.70328,3.75221,0.310088,67.6932,2.4679
2025-01-21,109.474,41.3034,4.69568,3.72094,0.297572,68.1702,2.4679
2025-01-22,107.568,41.2047,4.67813,3.71855,0.33851,66.3635,2.4679
2025-01-23,108.177,40.6524,4.68377,3.70506,0.311086,67.5247,2.4679
2025-01-24,106.714,39.7308,4.67015,3.68213,0.321764,66.9831,2.4679
2025-01-27,108.197,39.3344,4.68395,3.6721,0.277677,68.8624,2.4679
2025-01-28,106.105,39.3244,4.66443,3.67185,0.325606,66.7805,2.4679
2025-01-29,106.724,39.6911,4.67024,3.68113,0.320538,67.0325,2.4679
2025-01-30,107.608,39.2551,4.67849,3.67008,0.289137,68.3525,2.4679
2025-01-31,104.917,37.6199,4.65317,3.62753,0.309087,67.2968,2.4679
2025-02-03,105.172,37.0451,4.6556,3.61213,0.287691,68.1269,2.4679
2025-02-04,107.991,37.9271,4.68204,3.63567,0.245953,70.0635,2.4679
2025-02-05,107.912,37.5108,4.68132,3.62463,0.236714,70.4011,2.4679
2025-02-06,106.488,36.9063,4.66803,3.60838,0.25325,69.5816,2.4679
2025-02-07,106.94,37.0451,4.67227,3.61213,0.246555,69.8947,2.4679
2025-02-10,108.982,39.0569,4.69119,3.66502,0.252742,69.9256,2.4679
2025-02-11,109.67,40.2461,4.69748,3.69501,0.267218,69.4238,2.4679
2025-02-12,106.37,38.5613,4.66693,3.65225,0.299845,67.809,2.4679
2025-02-13,107.143,38.6208,4.67417,3.65379,0.28352,68.5224,2.4679
2025-02-14,107.252,38.1748,4.67518,3.64218,0.269396,69.0774,2.4679
2025-02-18,109.135,38.2739,4.69258,3.64477,0.229044,70.8609,2.4679
2025-02-19,109.293,38.4821,4.69404,3.65019,0.230884,70.8113,2.4679
2025-02-20,110.978,36.7775,4.70933,3.60489,0.147831,74.2004,2.4679
2025-02-21,109.68,34.0422,4.69757,3.5276,0.0995822,75.6376,2.4679
2025-02-24,110.255,33.517,4.70279,3.51205,0.0711351,76.7376,2.4679
2025-02-25,108.729,32.7836,4.68885,3.48993,0.0834064,75.945,2.4679
2025-02-26,108.461,32.0799,4.68639,3.46823,0.0677894,76.3811,2.4679
2025-02-27,109.145,32.2286,4.69268,3.47285,0.0569047,76.9162,2.4679
2025-02-28,110.314,32.4169,4.70333,3.47868,0.0364331,77.8971,2.4679
2025-03-03,106.777,29.7411,4.67074,3.39253,0.0307171,77.0355,2.4679
2025-03-04,106.559,28.5915,4.66869,3.35311,-0.00366001,77.9671,2.4679
2025-03-05,104.478,27.2734,4.64897,3.30591,-0.0021881,77.2043,2.4679
2025-03-06,106.638,26.9067,4.66944,3.29238,-0.0662281,79.7311,2.4679
2025-03-07,108.025,27.3428,4.68236,3.30845,-0.0820488,80.6823,2.4679
2025-03-10,110.78,27.1248,4.70754,3.30045,-0.152197,83.655,2.4679
2025-03-11,108.164,28.8095,4.68365,3.36071,-0.0329628,79.3543,2.4679
2025-03-12,108.134,29.5132,4.68337,3.38484,-0.00815407,78.6209,2.4679
2025-03-13,107.678,28.5122,4.67915,3.35033,-0.0322333,79.1661,2.4679
2025-03-14,110.879,29.7213,4.70844,3.39186,-0.0629868,81.1575,2.4679
2025-03-17,112.722,29.9889,4.72492,3.40083,-0.0947084,82.733,2.4679
