Date,CVX Raw Price,MUR Raw Price,CVX Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,143.354,30.1631,4.96532,3.40662,0.241468,113.191,1.79515
2025-01-03,144.468,30.0559,4.97306,3.40306,0.224014,114.413,1.79515
2025-01-06,143.892,29.9682,4.96906,3.40014,0.228271,113.924,1.79515
2025-01-07,146.169,30.8256,4.98476,3.42834,0.228296,115.343,1.79515
2025-01-08,146.862,31.9265,4.9895,3.46344,0.254887,114.936,1.79515
2025-01-10,149.637,32.3746,5.00822,3.47738,0.235223,117.263,1.79515
2025-01-13,151.797,32.9592,5.02254,3.49527,0.227397,118.838,1.79515
2025-01-14,153.311,33.0274,5.03247,3.49734,0.211642,120.284,1.79515
2025-01-15,154.709,32.5987,5.04154,3.48427,0.18229,122.11,1.79515
2025-01-16,155.735,32.1993,5.04815,3.47194,0.158095,123.535,1.79515
2025-01-17,157.777,31.4101,5.06118,3.44713,0.109894,126.367,1.79515
2025-01-21,154.621,30.6794,5.04098,3.42359,0.12263,123.941,1.79515
2025-01-22,152.833,30.0656,5.02934,3.40338,0.123302,122.767,1.79515
2025-01-23,152.442,29.6175,5.02678,3.38836,0.112881,122.824,1.79515
2025-01-24,152.09,28.9745,5.02447,3.36642,0.0950784,123.116,1.79515
2025-01-27,153.634,28.7894,5.03457,3.36001,0.0705383,124.845,1.79515
2025-01-28,152.637,28.4484,5.02806,3.34809,0.0703071,124.189,1.79515
2025-01-29,152.129,28.4289,5.02473,3.34741,0.0756076,123.7,1.79515
2025-01-30,152.745,26.7629,5.02877,3.28702,0.00796923,125.982,1.79515
2025-01-31,145.778,25.9445,4.98208,3.25596,0.0607189,119.833,1.79515
2025-02-03,145.924,24.8923,4.98309,3.21456,0.0175139,121.032,1.79515
2025-02-04,149.716,25.7886,5.00874,3.24993,0.00684434,123.927,1.79515
2025-02-05,149.491,25.9932,5.00724,3.25784,0.0174432,123.498,1.79515
2025-02-06,148.426,25.623,5.00009,3.24349,0.0159336,122.803,1.79515
2025-02-07,149.129,26.1296,5.00481,3.26307,0.0270239,123,1.79515
2025-02-10,152.207,27.3085,5.02524,3.3072,0.0344775,124.899,1.79515
2025-02-11,153.839,27.9905,5.03591,3.33186,0.0400004,125.849,1.79515
2025-02-12,151.357,26.9675,5.01964,3.29463,0.0319665,124.39,1.79515
2025-02-13,152.315,27.2013,5.02595,3.30327,0.0292779,125.113,1.79515
2025-02-14,153.471,27.5326,5.03351,3.31537,0.0278101,125.938,1.79515
2025-02-18,154.281,27.7839,5.03877,3.32446,0.0274458,126.497,1.79515
2025-02-19,155.338,27.981,5.0456,3.33153,0.0222572,127.357,1.79515
2025-02-20,156.879,27.7938,5.05548,3.32481,-0.00218112,129.085,1.79515
2025-02-21,155.032,26.9166,5.04363,3.29274,-0.0129841,128.115,1.79515
2025-02-24,155.99,27.3108,5.04979,3.30728,-0.00950628,128.679,1.79515
2025-02-25,154.538,27.2615,5.04044,3.30548,0.00547948,127.276,1.79515
2025-02-26,153.273,26.542,5.03222,3.27873,-0.00651673,126.731,1.79515
2025-02-27,154.785,26.3351,5.04203,3.2709,-0.0319624,128.45,1.79515
2025-02-28,156.711,26.1084,5.0544,3.26226,-0.0628129,130.603,1.79515
2025-03-03,151.248,24.1076,5.01892,3.18253,-0.0788393,127.14,1.79515
