Date,EOG Raw Price,MUR Raw Price,EOG Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,122.706,30.1631,4.80979,3.40662,0.16213,92.5428,1.85345
2025-01-03,124.536,30.0559,4.82459,3.40306,0.131132,94.4801,1.85345
2025-01-06,124.359,29.9682,4.82317,3.40014,0.130848,94.3907,1.85345
2025-01-07,125.51,30.8256,4.83239,3.42834,0.141977,94.6845,1.85345
2025-01-08,126.396,31.9265,4.83942,3.46344,0.164037,94.4692,1.85345
2025-01-10,129.298,32.3746,4.86212,3.47738,0.135895,96.9236,1.85345
2025-01-13,132.329,32.9592,4.88529,3.49527,0.11085,99.3695,1.85345
2025-01-14,133.588,33.0274,4.89476,3.49734,0.0953597,100.561,1.85345
2025-01-15,134.857,32.5987,4.90422,3.48427,0.0647685,102.259,1.85345
2025-01-16,135.832,32.1993,4.91142,3.47194,0.0390998,103.632,1.85345
2025-01-17,135.341,31.4101,4.9078,3.44713,0.0209913,103.931,1.85345
2025-01-21,134.806,30.6794,4.90384,3.42359,0.00479601,104.126,1.85345
2025-01-22,132.804,30.0656,4.88888,3.40338,0.0123141,102.739,1.85345
2025-01-23,132.765,29.6175,4.88858,3.38836,-0.00215086,103.147,1.85345
2025-01-24,130.624,28.9745,4.87232,3.36642,0.00602381,101.65,1.85345
2025-01-27,130.763,28.7894,4.87339,3.36001,-0.00235294,101.974,1.85345
2025-01-28,129.068,28.4484,4.86034,3.34809,0.00990715,100.62,1.85345
2025-01-29,129.049,28.4289,4.86019,3.34741,0.00950663,100.62,1.85345
2025-01-30,128.603,26.7629,4.85673,3.28702,-0.044467,101.84,1.85345
2025-01-31,124.649,25.9445,4.8255,3.25596,-0.0176459,98.7044,1.85345
2025-02-03,125.253,24.8923,4.83034,3.21456,-0.0680131,100.361,1.85345
2025-02-04,126.958,25.7886,4.84385,3.24993,-0.0576893,101.169,1.85345
2025-02-05,126.542,25.9932,4.84057,3.25784,-0.0437012,100.548,1.85345
2025-02-06,125.531,25.623,4.83255,3.24349,-0.0431828,99.9078,1.85345
2025-02-07,125.352,26.1296,4.83113,3.26307,-0.0209684,99.2228,1.85345
2025-02-10,129.376,27.3085,4.86272,3.3072,-0.0353922,102.067,1.85345
2025-02-11,131.09,27.9905,4.87588,3.33186,-0.0351238,103.099,1.85345
2025-02-12,127.671,26.9675,4.84946,3.29463,-0.0233779,100.704,1.85345
2025-02-13,127.85,27.2013,4.85085,3.30327,-0.0173325,100.648,1.85345
2025-02-14,128.137,27.5326,4.8531,3.31537,-0.00938956,100.604,1.85345
2025-02-18,129.752,27.7839,4.86563,3.32446,-0.02352,101.968,1.85345
2025-02-19,133.31,27.981,4.89267,3.33153,-0.0665825,105.329,1.85345
2025-02-20,134.439,27.7938,4.90111,3.32481,-0.0889372,106.646,1.85345
2025-02-21,131.873,26.9166,4.88184,3.29274,-0.0852812,104.956,1.85345
2025-02-24,132.418,27.3108,4.88596,3.30728,-0.0783851,105.107,1.85345
2025-02-25,130.129,27.2615,4.86852,3.30548,-0.0478712,102.867,1.85345
2025-02-26,128.662,26.542,4.85719,3.27873,-0.0536102,102.12,1.85345
2025-02-27,129.425,26.3351,4.8631,3.2709,-0.072398,103.09,1.85345
2025-02-28,125.788,26.1084,4.8346,3.26226,-0.0282175,99.6801,1.85345
2025-03-03,119.447,24.1076,4.78287,3.18253,-0.0120616,95.3389,1.85345
2025-03-04,121.002,24.0781,4.79581,3.1813,-0.0372736,96.9242,1.85345
2025-03-05,120.745,23.674,4.79368,3.16438,-0.0502479,97.0707,1.85345
2025-03-06,121.082,23.812,4.79646,3.17019,-0.049601,97.2696,1.85345
2025-03-07,124.124,24.9947,4.82128,3.21866,-0.0471183,99.129,1.85345
2025-03-10,124.748,25.2805,4.8263,3.23003,-0.0450465,99.4675,1.85345
2025-03-11,123.361,24.8862,4.81511,3.21432,-0.0400365,98.4744,1.85345
2025-03-12,123.143,24.768,4.81334,3.20955,-0.0415221,98.3747,1.85345
2025-03-13,119.992,24.5216,4.78742,3.19955,-0.00347402,95.47,1.85345
2025-03-14,122.796,25.6649,4.81052,3.24512,-0.000723022,97.131,1.85345
2025-03-17,122.459,26.2759,4.80778,3.26865,0.0278998,96.183,1.85345
2025-03-18,121.458,25.724,4.79957,3.24742,0.0218809,95.7341,1.85345
2025-03-19,123.807,26.7096,4.81872,3.28502,0.0239833,97.097,1.85345
2025-03-20,123.172,26.4435,4.81359,3.27501,0.0234889,96.7289,1.85345
2025-03-21,124.035,26.3154,4.82056,3.27015,0.00570435,97.7192,1.85345
2025-03-24,127.106,26.8673,4.84502,3.29091,-0.0188827,100.239,1.85345
2025-03-25,126.224,27.3404,4.83806,3.30836,0.0114773,98.8841,1.85345
2025-03-26,128.008,27.9416,4.85209,3.33012,0.00722149,100.067,1.85345
2025-03-27,125.58,28.0894,4.83295,3.33539,0.047988,97.4909,1.85345
2025-03-28,125.442,27.9613,4.83184,3.33082,0.0454649,97.4803,1.85345
2025-03-31,127.077,27.9909,4.84479,3.33188,0.0225194,99.0858,1.85345
2025-04-01,128.127,28.3358,4.85302,3.34413,0.0195111,99.7912,1.85345
2025-04-02,128.791,28.7892,4.85819,3.36,0.0258051,100.002,1.85345
2025-04-03,118.802,25.0439,4.77746,3.22063,0.0360637,93.7585,1.85345
2025-04-04,109.547,21.9985,4.69636,3.09097,0.056731,87.5487,1.85345
2025-04-07,108.041,21.1508,4.68251,3.05168,0.0430993,86.8901,1.85345
2025-04-08,104.008,19.3374,4.64447,2.96204,0.0239702,84.6705,1.85345
2025-04-09,113.015,22.8461,4.72752,3.12878,0.0367676,90.1693,1.85345
2025-04-10,103.661,19.6823,4.64113,2.97972,0.0478426,83.9787,1.85345
2025-04-11,107.555,20.5693,4.67801,3.0238,0.0235699,86.986,1.85345
2025-04-14,106.664,20.2342,4.66968,3.00738,0.022577,86.4293,1.85345
2025-04-15,106.505,19.8302,4.66819,2.9872,0.0051611,86.6749,1.85345
2025-04-16,108.24,20.2934,4.68435,3.01029,-0.00169759,87.9466,1.85345
2025-04-17,110.5,21.0621,4.70502,3.04748,-0.00281573,89.4379,1.85345
2025-04-21,109.11,20.5299,4.69236,3.02188,-0.00494683,88.5801,1.85345
2025-04-22,111.32,21.0819,4.71241,3.04841,-0.0155836,90.2381,1.85345
2025-04-23,111.57,20.2934,4.71465,3.01029,-0.0578593,91.2766,1.85345
2025-04-24,113.46,20.5299,4.73145,3.02188,-0.0774051,92.9301,1.85345
2025-04-25,113.07,20.7665,4.72801,3.03334,-0.0595673,92.3035,1.85345
2025-04-28,114.14,20.9044,4.73743,3.03996,-0.0704017,93.2356,1.85345
2025-04-29,112.93,20.9143,4.72677,3.04043,-0.0501771,92.0157,1.85345
2025-04-30,110.33,20.2342,4.70348,3.00738,-0.0400629,90.0958,1.85345
2025-05-01,111.68,20.8059,4.71564,3.03524,-0.0347445,90.8741,1.85345
2025-05-02,110.86,21.4662,4.70827,3.06648,0.0101598,89.3938,1.85345
2025-05-05,108.52,20.3131,4.68693,3.01127,-0.00551505,88.2069,1.85345
2025-05-06,108.72,20.6975,4.68878,3.03001,0.00981813,88.0225,1.85345
2025-05-07,107.97,20.6975,4.68185,3.03001,0.0226484,87.2725,1.85345
2025-05-08,109.71,21.072,4.69784,3.04795,0.0109506,88.638,1.85345
2025-05-09,111.12,21.5451,4.71061,3.07015,0.00948426,89.5749,1.85345
2025-05-12,114.06,22.6489,4.73672,3.12011,0.0110493,91.411,1.85345
2025-05-13,116.65,22.9939,4.75918,3.13523,-0.015451,93.6561,1.85345
2025-05-14,115.59,22.6489,4.75005,3.12011,-0.0136475,92.941,1.85345
2025-05-15,115.86,22.235,4.75238,3.10167,-0.0364177,93.625,1.85345
2025-05-16,115.5,22.08,4.74927,3.09467,-0.0376451,93.42,1.85345
2025-05-19,113.95,21.62,4.73576,3.07362,-0.0336569,92.33,1.85345
2025-05-20,112.58,21.61,4.72366,3.07316,-0.0117009,90.97,1.85345
2025-05-21,111.38,20.93,4.71295,3.04118,-0.0238114,90.45,1.85345
2025-05-22,110.79,21,4.70764,3.04452,-0.0106285,89.79,1.85345
2025-05-23,110.18,20.89,4.70212,3.03927,-0.00564723,89.29,1.85345
2025-05-27,111.23,21.43,4.7116,3.06479,0.00229454,89.8,1.85345
2025-05-28,110.45,21.23,4.70456,3.05542,0.00596116,89.22,1.85345
2025-05-29,109.88,21.25,4.69939,3.05636,0.0164927,88.63,1.85345
2025-05-30,108.57,20.93,4.6874,3.04118,0.023549,87.64,1.85345
2025-06-02,111.34,21.27,4.71259,3.0573,-0.00703156,90.07,1.85345
2025-06-03,112.82,22.03,4.72579,3.09241,0.00360108,90.79,1.85345
2025-06-04,110.77,21.67,4.70746,3.07593,0.0211126,89.1,1.85345
2025-06-05,111.03,21.54,4.7098,3.06991,0.0107501,89.49,1.85345
2025-06-06,114.05,22.5,4.73664,3.11352,0.00461363,91.55,1.85345
2025-06-09,114.33,23.02,4.73909,3.13636,0.022917,91.31,1.85345
2025-06-10,117.88,23.79,4.76967,3.16927,-0.000855957,94.09,1.85345
2025-06-11,119.92,24.32,4.78682,3.1913,-0.0106232,95.6,1.85345
2025-06-12,120.59,24.41,4.7924,3.19499,-0.0172558,96.18,1.85345
2025-06-13,125.28,25.43,4.83055,3.23593,-0.0470371,99.85,1.85345
