Date,MTDR Raw Price,ET Raw Price,MTDR Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,57.3103,19.0293,4.04848,2.94598,-0.0203382,38.281,0.427691
2025-01-03,58.2872,18.9617,4.06538,2.94242,-0.0311247,39.3255,0.427691
2025-01-06,57.5767,18.9424,4.05312,2.9414,-0.0268985,38.6343,0.427691
2025-01-07,58.9286,18.8169,4.07633,2.93475,-0.0434722,40.1117,0.427691
2025-01-08,59.2838,19.0486,4.08234,2.94699,-0.0338037,40.2352,0.427691
2025-01-10,60.4383,18.7493,4.10162,2.93116,-0.0578894,41.689,0.427691
2025-01-13,61.1389,18.7976,4.11315,2.93373,-0.0602473,42.3413,0.427691
2025-01-14,61.8987,19.2417,4.1255,2.95708,-0.0421783,42.657,0.427691
2025-01-15,62.7769,19.3479,4.13959,2.96258,-0.0426994,43.429,0.427691
2025-01-16,62.5401,19.5506,4.13581,2.97301,-0.0306585,42.9894,0.427691
2025-01-17,62.9249,19.5893,4.14194,2.97498,-0.0313088,43.3356,0.427691
2025-01-21,61.8888,20.1878,4.12534,3.00508,0.00589123,41.701,0.427691
2025-01-22,62.2046,20.1975,4.13043,3.00556,0.0041929,42.0071,0.427691
2025-01-23,61.3757,20.3327,4.11701,3.01223,0.0165999,41.043,0.427691
2025-01-24,60.31,20.323,4.0995,3.01175,0.0236163,39.987,0.427691
2025-01-27,58.8102,19.1258,4.07431,2.95104,-0.0263265,39.6843,0.427691
2025-01-28,59.4811,19.6472,4.08566,2.97793,-0.00428444,39.834,0.427691
2025-01-29,59.4614,19.821,4.08533,2.98674,0.00466377,39.6404,0.427691
2025-01-30,58.751,20.352,4.07331,3.01318,0.0362421,38.399,0.427691
2025-01-31,57.2314,19.7727,4.0471,2.9843,0.018574,37.4587,0.427691
2025-02-03,56.7775,20.043,4.03914,2.99788,0.0355588,36.7344,0.427691
2025-02-04,57.5965,20.0527,4.05346,2.99836,0.0299151,37.5438,0.427691
2025-02-05,57.2018,20.072,4.04658,2.99932,0.0338186,37.1298,0.427691
2025-02-06,55.7216,19.6665,4.02037,2.97892,0.0246221,36.0551,0.427691
2025-02-07,55.9289,19.5537,4.02408,2.97316,0.017281,36.3752,0.427691
2025-02-10,58.4747,19.7106,4.06859,2.98116,0.00623911,38.764,0.427691
2025-02-11,58.5832,19.4359,4.07045,2.96712,-0.00858942,39.1473,0.427691
2025-02-12,55.6723,19.2789,4.01948,2.95901,0.00509856,36.3933,0.427691
2025-02-13,56.363,19.4457,4.03181,2.96763,0.00843903,36.9173,0.427691
2025-02-14,56.4321,19.6125,4.03304,2.97617,0.0164558,36.8196,0.427691
2025-02-18,57.034,19.9167,4.04365,2.99156,0.0273069,37.1173,0.427691
2025-02-19,55.8795,19.7401,4.0232,2.98265,0.0271466,36.1394,0.427691
2025-02-20,55.7315,19.5635,4.02055,2.97366,0.0192944,36.168,0.427691
2025-02-21,52.4062,19.0239,3.95902,2.94569,0.0176362,33.3823,0.427691
2025-02-24,52.6923,18.6118,3.96447,2.9238,-0.00659149,34.0805,0.427691
2025-02-25,51.7648,18.5627,3.94671,2.92116,-0.00163496,33.202,0.427691
2025-02-26,51.4392,18.7982,3.9404,2.93376,0.0136691,32.641,0.427691
2025-02-27,51.8141,18.5824,3.94766,2.92221,-0.000985841,33.2318,0.427691
2025-02-28,51.9561,18.9257,3.9504,2.94052,0.0161548,33.0303,0.427691
2025-03-03,47.3898,18.6707,3.85841,2.92695,0.0419285,28.7192,0.427691
2025-03-04,46.0894,18.1212,3.83058,2.89708,0.0239596,27.9682,0.427691
2025-03-05,45.3846,17.8563,3.81517,2.88236,0.0158242,27.5283,0.427691
2025-03-06,44.4614,17.3658,3.79462,2.8545,-0.00324326,27.0957,0.427691
2025-03-07,44.9379,17.1303,3.80528,2.84085,-0.0214545,27.8076,0.427691
2025-03-10,44.6898,16.9341,3.79974,2.82933,-0.0306069,27.7557,0.427691
2025-03-11,46.6552,17.4933,3.84279,2.86182,-0.0165243,29.1619,0.427691
2025-03-12,47.9258,18.0526,3.86965,2.89329,0.00345198,29.8733,0.427691
2025-03-13,46.5858,17.8269,3.84129,2.88071,0.00300265,28.7589,0.427691
2025-03-14,48.2634,18.3763,3.87667,2.91106,0.0182263,29.887,0.427691
2025-03-17,49.9906,18.5431,3.91183,2.9201,0.0122232,31.4475,0.427691
2025-03-18,50.1891,18.3273,3.9158,2.90839,-0.00118047,31.8619,0.427691
2025-03-19,52.234,18.5824,3.95573,2.92221,-0.00443786,33.6517,0.427691
2025-03-20,51.9263,18.4941,3.94983,2.91745,-0.00667396,33.4322,0.427691
2025-03-21,51.1322,18.2488,3.93441,2.9041,-0.0134337,32.8834,0.427691
2025-03-24,52.5814,18.5235,3.96236,2.91904,-0.0104462,34.058,0.427691
2025-03-25,51.9362,18.5235,3.95002,2.91904,-0.00516552,33.4127,0.427691
2025-03-26,51.8568,18.5725,3.94849,2.92168,-0.00186621,33.2843,0.427691
2025-03-27,51.1222,18.5235,3.93422,2.91904,0.00159067,32.5987,0.427691
2025-03-28,50.1395,18.3567,3.91481,2.90999,0.000847474,31.7828,0.427691
2025-03-31,50.7152,18.239,3.92623,2.90356,-0.01047,32.4763,0.427691
