Date,OXY Raw Price,DVN Raw Price,OXY Log Price,DVN Log Price,Residual,Spread,Beta
2025-01-02,49.2819,32.9309,3.89756,3.49441,-0.0816595,16.3509,0.762234
2025-01-03,49.9745,33.4535,3.91151,3.51016,-0.0765534,16.521,0.762234
2025-01-06,50.2317,33.276,3.91665,3.50484,-0.0857861,16.9557,0.762234
2025-01-07,51.0034,34.2028,3.93189,3.53231,-0.0699365,16.8006,0.762234
2025-01-08,50.6472,34.6564,3.92488,3.54548,-0.0514216,15.9909,0.762234
2025-01-10,50.7561,35.4846,3.92703,3.5691,-0.0294412,15.2715,0.762234
2025-01-13,52.1214,36.2536,3.95358,3.59054,-0.0282337,15.8678,0.762234
2025-01-14,51.5278,36.6578,3.94212,3.60163,-0.00841373,14.87,0.762234
2025-01-15,52.1412,37.8903,3.95396,3.63469,0.0156331,14.2509,0.762234
2025-01-16,51.7455,37.8804,3.94634,3.63443,0.0211804,13.865,0.762234
2025-01-17,51.419,37.417,3.94001,3.62213,0.0136964,14.0019,0.762234
2025-01-21,50.014,36.2142,3.9123,3.58945,0.0021375,13.7999,0.762234
2025-01-22,49.6677,35.948,3.90536,3.58207,5.53627e-05,13.7198,0.762234
2025-01-23,49.8063,35.9381,3.90814,3.5818,-0.00234173,13.8682,0.762234
2025-01-24,48.7674,35.455,3.88706,3.56826,0.000190835,13.3124,0.762234
2025-01-27,49.0345,34.8338,3.89252,3.55059,-0.0216477,14.2007,0.762234
2025-01-28,48.4805,34.3901,3.88116,3.53777,-0.0258047,14.0903,0.762234
2025-01-29,48.3123,34.5775,3.87769,3.5432,-0.0177233,13.7348,0.762234
2025-01-30,48.4013,34.5578,3.87953,3.54263,-0.0196972,13.8436,0.762234
2025-01-31,46.1554,33.6211,3.83201,3.51515,-0.0109593,12.5343,0.762234
2025-02-03,45.8784,33.276,3.82599,3.50484,-0.0166873,12.6023,0.762234
2025-02-04,47.0854,33.9366,3.85196,3.52449,-0.0168251,13.1488,0.762234
2025-02-05,46.8579,33.6605,3.84712,3.51633,-0.0213005,13.1973,0.762234
2025-02-06,46.4819,32.9506,3.83906,3.49501,-0.0364751,13.5312,0.762234
2025-02-07,46.284,32.6844,3.8348,3.4869,-0.041335,13.5996,0.762234
2025-02-10,47.867,33.7789,3.86843,3.51983,-0.0340337,14.0882,0.762234
2025-02-11,48.0946,34.6268,3.87317,3.54463,-0.0128566,13.4678,0.762234
2025-02-12,47.3229,33.4929,3.85699,3.51133,-0.0338194,13.8299,0.762234
2025-02-13,47.3723,33.7394,3.85804,3.51867,-0.0272835,13.6329,0.762234
2025-02-14,47.5504,34.1535,3.86179,3.53087,-0.0179448,13.3969,0.762234
2025-02-18,48.3222,34.3901,3.87789,3.53777,-0.0233117,13.932,0.762234
2025-02-19,50.4494,37.0424,3.92097,3.61206,0.0181436,13.407,0.762234
2025-02-20,51.5377,38.0086,3.94231,3.63781,0.027625,13.5291,0.762234
2025-02-21,49.8854,36.9635,3.90973,3.60993,0.0245807,12.9219,0.762234
2025-02-24,49.3313,36.786,3.89856,3.60512,0.0282812,12.5453,0.762234
2025-02-25,48.3716,35.3761,3.87891,3.56604,0.00417472,12.9955,0.762234
2025-02-26,48.0352,34.962,3.87193,3.55426,-0.00228071,13.0732,0.762234
2025-02-27,48.1342,35.3761,3.87399,3.56604,0.00792576,12.7581,0.762234
2025-02-28,48.3222,35.7113,3.87789,3.57547,0.0143861,12.6108,0.762234
2025-03-03,45.9575,33.9267,3.82772,3.5242,0.00136556,12.0308,0.762234
2025-03-04,46.0367,33.769,3.82944,3.51954,-0.00460674,12.2677,0.762234
2025-03-05,45.0275,33.1873,3.80727,3.50217,-0.00508807,11.8402,0.762234
2025-03-06,45.2253,33.3943,3.81166,3.50839,-0.00221102,11.831,0.762234
2025-03-07,46.7391,34.2225,3.84458,3.53288,-0.00280852,12.5166,0.762234
2025-03-10,47.0971,33.7296,3.85221,3.51837,-0.0231345,13.3676,0.762234
2025-03-11,46.0231,33.9267,3.82914,3.5242,0.000277976,12.0964,0.762234
2025-03-12,45.8441,34.262,3.82525,3.53404,0.0130807,11.5822,0.762234
2025-03-13,45.1977,33.3155,3.81105,3.50602,-0.00411011,11.8823,0.762234
2025-03-14,46.2717,34.3085,3.83453,3.53539,0.00735986,11.9633,0.762234
2025-03-17,46.9977,34.8645,3.8501,3.55147,0.0115727,12.1331,0.762234
2025-03-18,47.3855,35.1227,3.85832,3.55885,0.0126863,12.2628,0.762234
2025-03-19,47.6938,35.798,3.8648,3.57789,0.0267863,11.8958,0.762234
2025-03-20,47.6938,35.8774,3.8648,3.58011,0.0290031,11.8164,0.762234
2025-03-21,47.6739,35.8973,3.86438,3.58066,0.0298744,11.7766,0.762234
2025-03-24,47.654,36.7016,3.86397,3.60282,0.0523517,10.9524,0.762234
2025-03-25,48.738,36.7115,3.88646,3.60309,0.0354785,12.0264,0.762234
2025-03-26,49.4739,37.208,3.90144,3.61653,0.0374895,12.2658,0.762234
2025-03-27,49.2352,36.6222,3.89661,3.60065,0.0253043,12.613,0.762234
2025-03-28,48.559,36.503,3.88278,3.59739,0.0325865,12.056,0.762234
2025-03-31,49.086,37.1385,3.89357,3.61466,0.0416184,11.9475,0.762234
2025-04-01,48.917,37.3074,3.89012,3.61919,0.0487833,11.6096,0.762234
2025-04-02,49.0562,37.6549,3.89297,3.62846,0.0558897,11.4013,0.762234
2025-04-03,43.6563,32.9282,3.77635,3.49433,0.0106457,10.7282,0.762234
2025-04-04,40.315,29.1051,3.69672,3.37091,-0.0520769,11.2099,0.762234
2025-04-07,38.5349,28.41,3.65156,3.34674,-0.0418281,10.1249,0.762234
2025-04-08,35.9096,26.6126,3.581,3.28139,-0.0533986,9.29693,0.762234
2025-04-09,40.0067,30.8528,3.68905,3.42923,0.0120881,9.15392,0.762234
2025-04-10,36.2676,27.556,3.59092,3.31622,-0.0261262,8.71158,0.762234
2025-04-11,37.4609,28.0326,3.6233,3.33337,-0.0336533,9.42827,0.762234
2025-04-14,37.6896,28.5291,3.62939,3.35093,-0.0207365,9.16049,0.762234
2025-04-15,37.5902,28.3305,3.62674,3.34394,-0.0257082,9.25964,0.762234
2025-04-16,38.2366,29.0952,3.64379,3.37057,-0.0120728,9.14142,0.762234
2025-04-17,39.4896,30.0981,3.67604,3.40446,-0.0027603,9.39149,0.762234
2025-04-21,38.8034,29.2739,3.65851,3.3767,-0.0171649,9.52951,0.762234
2025-04-22,39.7481,30.9819,3.68256,3.4334,0.0212057,8.76627,0.762234
2025-04-23,39.6089,30.8627,3.67905,3.42955,0.0200265,8.74621,0.762234
2025-04-24,40.1459,31.25,3.69252,3.44202,0.0222322,8.89593,0.762234
2025-04-25,40.136,31.1308,3.69227,3.4382,0.0186005,9.00515,0.762234
2025-04-28,40.2851,31.3294,3.69598,3.44456,0.0221322,8.95572,0.762234
2025-04-29,40.126,31.0812,3.69203,3.4366,0.0171933,9.04486,0.762234
2025-04-30,39.1913,30.1974,3.66845,3.40776,0.00631387,8.99385,0.762234
2025-05-01,40.2155,30.9422,3.69425,3.43212,0.0110121,9.27338,0.762234
2025-05-02,40.3846,31.2202,3.69845,3.44107,0.0167603,9.16439,0.762234
2025-05-05,38.5946,30.4059,3.65311,3.41464,0.0248897,8.18865,0.762234
2025-05-06,39.062,30.3761,3.66515,3.41366,0.0147341,8.68583,0.762234
2025-05-07,38.7935,30.0782,3.65825,3.4038,0.0101361,8.71523,0.762234
2025-05-08,41.21,31.7068,3.71868,3.45653,0.0168037,9.50321,0.762234
2025-05-09,41.926,32.3026,3.73591,3.47515,0.0222906,9.62341,0.762234
2025-05-12,43.6166,33.3155,3.77544,3.50602,0.023033,10.3011,0.762234
2025-05-13,44.1436,34.0503,3.78745,3.52784,0.0356944,10.0933,0.762234
2025-05-14,43.5768,33.7226,3.77452,3.51817,0.0358751,9.85419,0.762234
2025-05-15,43.1293,33.1665,3.7642,3.50154,0.0271157,9.96277,0.762234
2025-05-16,42.8011,33.0275,3.75656,3.49734,0.0287371,9.77363,0.762234
2025-05-19,42.0752,32.4615,3.73946,3.48005,0.02449,9.6137,0.762234
2025-05-20,41.6674,31.9451,3.72972,3.46402,0.0158774,9.72234,0.762234
2025-05-21,40.9017,31.2798,3.71117,3.44297,0.00896868,9.62193,0.762234
2025-05-22,40.852,30.9223,3.70996,3.43148,-0.00159861,9.92969,0.762234
2025-05-23,41.0608,30.9422,3.71505,3.43212,-0.00484306,10.1187,0.762234
2025-05-27,41.389,31.1308,3.72301,3.4382,-0.00483176,10.2582,0.762234
2025-05-28,40.8918,30.6443,3.71093,3.42245,-0.0113727,10.2475,0.762234
2025-05-29,41.2299,30.8925,3.71916,3.43051,-0.0095808,10.3374,0.762234
2025-05-30,40.5536,30.0485,3.70263,3.40281,-0.024678,10.5052,0.762234
2025-06-02,41.21,30.9223,3.71868,3.43148,-0.00824919,10.2877,0.762234
2025-06-03,42.453,31.7862,3.7484,3.45903,-0.00334617,10.6668,0.762234
2025-06-04,41.6774,31.3394,3.72996,3.44487,-0.00344821,10.338,0.762234
2025-06-05,41.5879,31.2003,3.72781,3.44043,-0.00625544,10.3875,0.762234
2025-06-06,42.3039,32.0643,3.74488,3.46774,0.00804604,10.2396,0.762234
2025-06-09,43,32.4217,3.7612,3.47883,0.00669276,10.5783,0.762234
2025-06-10,43.91,33.236,3.78214,3.50363,0.0155348,10.674,0.762234
2025-06-11,44.84,34.229,3.8031,3.53307,0.0289994,10.611,0.762234
2025-06-12,44.76,34.09,3.80131,3.529,0.0262907,10.67,0.762234
2025-06-13,46.45,35.11,3.83838,3.55849,0.027523,11.34,0.762234
